#timestamp, p_RS_R_x [m], p_RS_R_y [m], p_RS_R_z [m], q_RS_w [], q_RS_x [], q_RS_y [], q_RS_z []
0,1,6.55856e-16,0.1,0.521334,-0.477714,-0.477714,0.521334
1,0.980171,0.164847,0.108207,0.482417,-0.437985,-0.51145,0.560233
2,0.927998,0.326197,0.102089,0.434752,-0.390886,-0.542941,0.602838
3,0.866539,0.468428,0.102655,0.398672,-0.346954,-0.565667,0.633012
4,0.787229,0.603832,0.110525,0.347645,-0.298127,-0.601298,0.654755
5,0.690487,0.719114,0.0943909,0.293252,-0.244599,-0.629745,0.676458
6,0.564728,0.819968,0.0968162,0.232323,-0.198007,-0.643535,0.701913
7,0.429171,0.905814,0.108367,0.180121,-0.145555,-0.655744,0.718589
8,0.290766,0.956783,0.118159,0.12498,-0.10533,-0.66561,0.728182
9,0.143238,0.99104,0.100338,0.0694569,-0.0610174,-0.680046,0.727317
10,-0.0234895,1.00854,0.100468,0.00603941,-0.0182264,-0.690267,0.7233
11,-0.171174,0.989332,0.0975702,-0.0540495,0.0332717,-0.686606,0.724254
12,-0.323037,0.957744,0.0991535,-0.110513,0.0862563,-0.682201,0.717599
13,-0.480882,0.907839,0.108536,-0.176063,0.139687,-0.675535,0.702241
14,-0.623639,0.833482,0.104156,-0.232457,0.185471,-0.659211,0.690655
15,-0.765363,0.735382,0.0810856,-0.284663,0.238229,-0.629946,0.682188
16,-0.864374,0.629433,0.0807473,-0.33453,0.277944,-0.607336,0.664815
17,-0.945573,0.497806,0.073701,-0.38136,0.319907,-0.58098,0.643961
18,-1.02123,0.350672,0.0836521,-0.433236,0.365688,-0.553397,0.610189
19,-1.06379,0.194971,0.0568819,-0.482079,0.410036,-0.513628,0.579359
20,-1.10594,0.0388928,0.0524018,0.520413,-0.455026,0.478254,-0.541659
21,-1.11673,-0.125517,0.0540747,0.558271,-0.492692,0.448468,-0.494435
22,-1.08846,-0.287347,0.0520659,0.591262,-0.536085,0.40194,-0.448851
23,-1.04075,-0.438016,0.0563271,0.624791,-0.562831,0.360287,-0.403796
24,-0.944831,-0.558591,0.0502574,0.654407,-0.591669,0.307003,-0.356971
25,-0.849361,-0.680049,0.060719,0.67901,-0.612437,0.259581,-0.310617
26,-0.719409,-0.799618,0.0743673,0.697315,-0.640261,0.203747,-0.249609
27,-0.610447,-0.895574,0.0709088,0.714537,-0.657398,0.146976,-0.188845
28,-0.473344,-0.961052,0.0761327,0.724326,-0.669581,0.101929,-0.128935
29,-0.316271,-1.00709,0.0935586,0.728484,-0.679548,0.0520629,-0.0693846
30,-0.154628,-1.02307,0.101491,0.728328,-0.685079,-0.00454933,-0.0135989
31,0.00195879,-1.00119,0.10001,0.719021,-0.691427,-0.0518102,0.0474649
32,0.165968,-0.98784,0.101104,0.711738,-0.687294,-0.10284,0.102376
33,0.315117,-0.929224,0.10068,0.694775,-0.685059,-0.152594,0.157152
34,0.448625,-0.849877,0.0873967,0.683028,-0.667498,-0.20542,0.213826
35,0.562436,-0.754697,0.092923,0.659318,-0.646672,-0.26436,0.277902
36,0.68241,-0.656141,0.0833808,0.634417,-0.62545,-0.303708,0.337771
37,0.754814,-0.531229,0.0850201,0.598044,-0.605307,-0.344935,0.39619
38,0.831161,-0.38812,0.0543112,0.564428,-0.572964,-0.391463,0.447092
39,0.880641,-0.229139,0.0499773,0.533605,-0.537054,-0.437804,0.48494
