#timestamp, p_RS_R_x [m], p_RS_R_y [m], p_RS_R_z [m], q_RS_w [], q_RS_x [], q_RS_y [], q_RS_z [], v_RS_R_x [m s^-1], v_RS_R_y [m s^-1], v_RS_R_z [m s^-1], b_w_RS_S_x [rad s^-1], b_w_RS_S_y [rad s^-1], b_w_RS_S_z [rad s^-1], b_a_RS_S_x [m s^-2], b_a_RS_S_y [m s^-2], b_a_RS_S_z [m s^-2]
1413393212255760384,-1.07611,0.492467,1.32992,0.602686,-0.00124982,-0.797973,0.00273293,-0.00277186,0.00747702,0.00520599,-0.000426612,0.00459522,0.0160874,-0.00122419,2.74737e-05,0.000337608
1413393212305760512,-1.07876,0.494355,1.32976,0.602774,-0.00166705,-0.797904,0.00324249,-0.00190237,0.00270738,0.00458817,-0.000427139,0.00467224,0.0163266,-0.00179741,3.98953e-05,0.000495924
1413393212355760384,-1.08306,0.50045,1.3299,0.602753,-0.00173081,-0.797919,0.00342205,-0.00325032,0.00025306,0.00442197,-0.000440057,0.00475499,0.0166183,-0.00240134,5.21571e-05,0.000663222
1413393212405760512,-1.08276,0.501142,1.33024,0.602696,-0.00176227,-0.797961,0.00350449,-0.00262945,0.0022902,0.00293038,-0.000453321,0.00484231,0.0168786,-0.00302203,6.40284e-05,0.000835656
1413393212455760384,-1.08434,0.498434,1.32971,0.602678,-0.0017978,-0.797975,0.00344332,-0.000556275,-0.0012414,0.00339459,-0.000454897,0.00491937,0.0171399,-0.00363664,7.51086e-05,0.00100704
1413393212505760512,-1.08184,0.498103,1.32976,0.602678,-0.0017154,-0.797975,0.00352652,-0.000501208,-0.000479894,0.00473205,-0.000460112,0.00500719,0.017407,-0.00427213,8.5342e-05,0.00118526
1413393212555760384,-1.08241,0.500175,1.32961,0.602658,-0.00165309,-0.79799,0.00359287,-0.00090501,-0.00319507,0.000767331,-0.000477338,0.00508576,0.017662,-0.00489115,9.45427e-05,0.00135936
1413393212605760512,-1.08236,0.498627,1.32995,0.602658,-0.00177045,-0.79799,0.00363782,-0.00124499,0.00372288,0.00119417,-0.000493327,0.00515748,0.0179057,-0.00552258,0.00010323,0.00153836
1413393212655760384,-1.07568,0.501748,1.32938,0.602633,-0.00177729,-0.798009,0.00350199,-0.0019955,0.00062432,0.000185605,-0.000504052,0.00522654,0.0181681,-0.00610354,0.000110503,0.0017043
1413393212705760512,-1.07675,0.500547,1.32972,0.602653,-0.00176946,-0.797993,0.00374812,0.000655747,-0.00207703,-0.000906685,-0.000503685,0.00530378,0.0184224,-0.00668142,0.000117919,0.00186892
1413393212755760384,-1.07842,0.502336,1.33032,0.602654,-0.00168511,-0.797993,0.00355648,0.000461814,0.00183807,-0.000727234,-0.000506417,0.00537599,0.0186686,-0.00728704,0.000124801,0.00204406
1413393212805760512,-1.07818,0.505355,1.32982,0.602672,-0.00164176,-0.797979,0.0036242,9.01186e-05,-0.00174302,-0.00043185,-0.000516776,0.00545054,0.0189094,-0.00786611,0.000132816,0.00221318
1413393212855760384,-1.07311,0.508614,1.32982,0.60267,-0.00163614,-0.797981,0.00359678,0.000511886,0.00134514,-0.000390666,-0.00052332,0.00551406,0.019138,-0.00842549,0.000139093,0.00237785
1413393212905760512,-1.0663,0.515285,1.32996,0.602657,-0.00166088,-0.797991,0.00350975,-6.39382e-05,0.000966975,-0.000243516,-0.000545896,0.00558822,0.0193724,-0.00897092,0.000144496,0.00254039
1413393212955760384,-1.05918,0.525468,1.32864,0.602645,-0.00159606,-0.798,0.0037002,0.000274333,-0.00257719,-0.000590536,-0.000555966,0.00565536,0.0196251,-0.00952696,0.000147537,0.00270846
1413393213005760512,-1.02792,0.608152,1.33155,0.602675,-0.00147179,-0.797977,0.00374944,0.00197936,0.000918883,0.000907383,-0.000552887,0.00572029,0.0198769,-0.0100364,0.000156676,0.00284763
1413393213055760384,-0.989337,0.749375,1.33515,0.602698,-0.00136114,-0.797959,0.00391117,0.0010912,-0.000217551,0.000454935,-0.000571253,0.00578968,0.0201213,-0.0105214,0.000155002,0.00296096
1413393213105760512,-0.981331,0.800516,1.33826,0.602678,-0.00118352,-0.797973,0.00412608,-0.000145433,-0.00084417,-0.00333994,-0.000574835,0.00585831,0.0203428,-0.0109676,0.000157391,0.00307042
1413393213155760384,-0.992877,0.761597,1.3392,0.602637,-0.00133291,-0.798004,0.00397739,-0.00034148,0.000714195,-0.000586199,-0.000575862,0.00591797,0.0205849,-0.0114806,0.000170506,0.00320973
1413393213205760512,-0.985722,0.736439,1.33912,0.602671,-0.00193357,-0.79798,0.00356619,0.000129104,0.00160348,-0.000548068,-0.000581934,0.00599688,0.0208075,-0.011889,0.000163421,0.00331081
1413393213255760384,-0.945812,0.769767,1.33948,0.602676,-0.00504223,-0.797969,0.00112029,0.000545027,0.000583601,0.00116277,-0.000583826,0.00604409,0.0210083,-0.0122755,0.00018102,0.00340975
1413393213305760512,-0.946955,0.767576,1.33934,0.602713,-0.0054623,-0.797939,0.00081732,-0.000699267,-0.00151319,0.000547656,-0.000600094,0.00609804,0.0212468,-0.0127783,0.000169722,0.00353407
1413393213355760384,-0.944045,0.765547,1.33905,0.602699,-0.0058763,-0.797947,0.000701487,7.27862e-05,0.00183223,-0.00253002,-0.000589891,0.00617576,0.0215406,-0.0133568,0.000179679,0.00363918
1413393213405760512,-0.94004,0.763655,1.33735,0.602694,-0.00574216,-0.797952,0.000613656,0.000165152,0.00167313,-0.000609209,-0.000581546,0.00623721,0.0217719,-0.0138822,0.000191836,0.00372963
1413393213455760384,-0.939238,0.760753,1.33508,0.602681,-0.00559268,-0.797963,0.00079165,-0.000572161,-0.00103438,-0.0025104,-0.000585524,0.00631807,0.0219995,-0.0143703,0.000190982,0.0037925
1413393213505760512,-0.936829,0.755021,1.33214,0.602662,-0.00524111,-0.797979,0.000914295,-0.00141879,-0.000550636,-0.00154478,-0.000592751,0.00638832,0.0222158,-0.0148901,0.000206779,0.00384363
1413393213555760384,-0.937839,0.754198,1.33135,0.602658,-0.00430923,-0.797987,0.00157645,3.74044e-05,0.000934501,-6.27996e-05,-0.000589643,0.00646054,0.0224406,-0.0153755,0.000219828,0.00389475
1413393213605760512,-0.939352,0.753437,1.33128,0.602671,-0.00410609,-0.797977,0.00177951,0.0010277,0.00210179,0.000215477,-0.000585873,0.00653419,0.0226954,-0.0159012,0.000227789,0.00398071
1413393213655760384,-0.935489,0.749313,1.33085,0.602687,-0.00374669,-0.797967,0.00196611,0.000876999,0.000173515,-0.000304003,-0.00061031,0.0065982,0.0228677,-0.0163319,0.000229188,0.00401438
1413393213705760512,-0.94069,0.755462,1.33066,0.602685,-0.00187398,-0.797969,0.00348257,0.00112525,-0.00174337,0.000349644,-0.000608734,0.00666544,0.0231094,-0.0168599,0.000242163,0.00407686
1413393213755760384,-0.943592,0.757797,1.33069,0.60266,-0.00108421,-0.797987,0.0041183,0.00193846,-5.54955e-05,-0.000246064,-0.000614319,0.00671474,0.0232856,-0.0172851,0.000267522,0.00411128
