#timestamp, p_RS_R_x [m], p_RS_R_y [m], p_RS_R_z [m], q_RS_w [], q_RS_x [], q_RS_y [], q_RS_z [], v_RS_R_x [m s^-1], v_RS_R_y [m s^-1], v_RS_R_z [m s^-1], b_w_RS_S_x [rad s^-1], b_w_RS_S_y [rad s^-1], b_w_RS_S_z [rad s^-1], b_a_RS_S_x [m s^-2], b_a_RS_S_y [m s^-2], b_a_RS_S_z [m s^-2]
1413393212255760384,-1.07611,0.492468,1.32992,0.602496,-0.00169146,-0.798114,0.00331378,0.00236812,0.0114139,0.00597965,-0.000399634,0.00472967,0.016405,-0.00137968,2.75614e-05,0.0003809
1413393212305760512,-3.07533,1.27215,1.17389,0.602412,0.010277,-0.798023,0.0123635,0.00237692,0.00549443,0.00180541,-0.000397252,0.00479674,0.016663,-0.0020006,4.03135e-05,0.000586587
1413393212355760384,-2.06957,0.915039,3.22962,0.601463,0.0121545,-0.798704,0.0129012,-0.00414495,0.00343028,0.000273024,-0.000416546,0.00486735,0.0169333,-0.0013648,-0.00200917,0.00360228
1413393212405760512,-2.10497,0.881521,3.23158,0.600674,0.0283132,-0.798597,0.0251275,-0.00310265,0.00705299,-0.00159387,-0.000417675,0.00495287,0.0172314,-0.00181203,-0.00249721,0.00657687
1413393212455760384,-2.11673,0.914695,3.47115,0.600259,0.0270831,-0.798999,0.0235819,0.000942364,0.000601259,0.000382878,-0.000413456,0.00501606,0.0174846,-0.00198171,-0.00380751,0.00758207
1413393212505760512,-2.09334,0.910539,2.88141,0.600789,0.0192964,-0.798958,0.0186218,-0.00502721,-0.00638949,0.000872593,-0.000428337,0.00509844,0.0177227,-0.00287209,-0.00295011,0.00928306
1413393212555760384,-2.10432,0.909305,3.11191,0.600664,0.0280342,-0.798643,0.0242059,-0.00425245,-0.00984299,-0.00608934,-0.000445048,0.00516889,0.017993,-0.00284673,-0.00702859,0.00948364
1413393212605760512,-2.09733,0.907507,2.84832,0.601327,0.0178866,-0.798607,0.0176695,-0.00364227,-0.00155043,-0.00646444,-0.000460091,0.00524121,0.0182472,-0.00451941,-0.00365599,0.0086917
1413393212655760384,-2.09259,0.907499,2.83988,0.601497,0.0194327,-0.798408,0.0192044,-0.00324349,-0.00124617,-0.00493442,-0.00048728,0.00532938,0.0185259,-0.00604292,-0.0020234,0.00916949
1413393212705760512,-2.101,0.911794,2.92278,0.600655,0.0262975,-0.798707,0.0242594,0.00399394,-0.00090856,0.00386844,-0.000471993,0.00539048,0.0187514,-0.00418323,-0.00472971,0.0148575
1413393212755760384,-2.10288,0.915286,3.19556,0.600953,0.0275916,-0.798468,0.0233026,-0.000227208,0.00451006,0.00814174,-0.000477459,0.00546984,0.019004,-0.00555519,-0.0130645,0.0125855
1413393212805760512,-2.0689,0.88763,2.94537,0.602664,0.00983677,-0.797904,0.00703161,0.000194034,-0.00191398,0.00839471,-0.000502361,0.00555963,0.0191997,-0.00947648,-0.0336656,0.00181651
1413393212855760384,-2.06905,0.889241,2.94325,0.60214,0.0135392,-0.798229,0.00870504,0.00504574,0.00311809,0.00461436,-0.00050096,0.00560598,0.0194455,-0.00802372,-0.0416493,0.00617273
1413393212905760512,-2.07034,0.890542,2.94349,0.60194,0.0142163,-0.798361,0.00933344,-0.000805143,0.00327669,-0.000608855,-0.000522247,0.00568656,0.019705,-0.00837777,-0.0435933,0.00810596
1413393212955760384,-2.0707,0.890673,2.93849,0.601847,0.014253,-0.798427,0.00953115,-0.00538213,-0.00115755,-0.00521693,-0.000547253,0.00575012,0.0199393,-0.00848007,-0.0455815,0.0102809
1413393213005760512,-2.07171,0.891079,2.9419,0.601695,0.0147314,-0.798532,0.00965152,-0.00440387,-0.000138959,-0.00505282,-0.000512318,0.00581654,0.0201911,-0.00857664,-0.0472749,0.0117362
1413393213055760384,-2.07279,0.891203,2.95408,0.601429,0.0156947,-0.798698,0.0108584,-0.00414646,-0.00276967,-0.00435773,-0.000508401,0.00588547,0.020436,-0.00830938,-0.0464587,0.015934
1413393213105760512,-2.05821,0.875352,2.9274,0.601654,0.0108468,-0.798682,0.00163806,-0.00232869,-0.00370061,-0.00557634,-0.000512617,0.00597695,0.0206686,-0.00862424,-0.095111,0.0154248
1413393213155760384,-2.05745,0.874646,2.92815,0.601588,0.0108436,-0.798732,0.00148894,-0.00057799,0.000497561,-0.00151278,-0.000514753,0.00601553,0.0208813,-0.00804088,-0.0987914,0.017103
1413393213205760512,-2.05662,0.874601,2.92476,0.601569,0.0106477,-0.798749,0.0014314,0.00279463,0.00213698,0.000996269,-0.000538731,0.00609469,0.0211007,-0.00829049,-0.102661,0.0197148
1413393213255760384,-2.05627,0.874126,2.92799,0.60139,0.0107991,-0.798882,0.00115131,0.00295882,-9.59599e-05,0.00322644,-0.000508774,0.0061313,0.0213083,-0.00776034,-0.105537,0.019005
1413393213305760512,-2.05552,0.874456,2.9222,0.601298,0.0106627,-0.798953,0.00108446,-0.000894682,-0.00372925,-3.99135e-05,-0.000541123,0.00621529,0.0215569,-0.00947651,-0.109793,0.0240735
1413393213355760384,-2.05523,0.873505,2.92167,0.601354,0.0102223,-0.798917,0.00111693,0.00231051,0.00295435,0.000706742,-0.000544524,0.00631048,0.0218314,-0.0107389,-0.114666,0.0244191
1413393213405760512,-2.05609,0.87491,2.94447,0.601242,0.0104891,-0.798993,0.00292318,0.00591318,0.00663389,0.00800605,-0.000533329,0.00636272,0.0220669,-0.010424,-0.0967353,0.0246799
1413393213455760384,-2.05493,0.87569,2.95758,0.601393,0.00900914,-0.798891,0.0044144,0.00628901,0.00241893,0.00664568,-0.000544732,0.0064391,0.0222847,-0.0109891,-0.07516,0.0218091
1413393213505760512,-2.04828,0.870673,2.93564,0.601771,0.00768096,-0.79862,0.00437524,-0.00108383,0.0013076,0.00327816,-0.000542466,0.00651508,0.0224866,-0.0136572,-0.0635695,0.0149524
1413393213555760384,-2.08608,0.903842,2.99674,0.599353,0.0180707,-0.800103,0.016911,-0.00351522,-5.55622e-05,0.00430328,-0.000539939,0.00656242,0.022717,-0.00332686,-0.0157529,0.0509975
1413393213605760512,-2.08307,0.900557,2.99542,0.599724,0.0165473,-0.799887,0.0154231,0.000375708,0.00258086,0.00174372,-0.000554912,0.00664682,0.022984,-0.00568159,-0.0219447,0.0478039
1413393213655760384,-2.08177,0.899336,2.99746,0.599996,0.0158331,-0.799713,0.0146255,0.00192278,0.00170007,-0.000218783,-0.000559514,0.00669793,0.0231436,-0.00575405,-0.0217799,0.0423013
1413393213705760512,-2.08385,0.900646,3.00103,0.599748,0.0166791,-0.799866,0.0154745,0.00224804,-0.0012699,-0.00166645,-0.000590845,0.00678604,0.0233909,-0.00685985,-0.0236696,0.0497715
1413393213755760384,-2.08253,0.899209,3.00086,0.599829,0.0163843,-0.799819,0.0150718,0.000945038,-0.000574326,-0.00436304,-0.000576208,0.00681897,0.0235684,-0.00558619,-0.0235985,0.0468801
1413393213805760512,-2.08393,0.899779,3.00281,0.59969,0.0170704,-0.799903,0.0153789,-0.0024933,-0.00194507,-0.00707269,-0.000580218,0.00685023,0.0237563,-0.0042085,-0.0254079,0.0494082
1413393213855760384,-2.08198,0.897928,3.00118,0.599946,0.0163222,-0.799734,0.0149551,-0.00415977,-0.00265633,-0.00427183,-0.000604978,0.0069418,0.0239799,-0.00743281,-0.025381,0.0472351
1413393213905760512,-2.08136,0.897175,3.00066,0.59996,0.0162017,-0.799731,0.0147167,-0.000447781,-0.00239696,-0.00457011,-0.000548666,0.00697882,0.0241769,-0.0065129,-0.0241388,0.046155
1413393213955760384,-2.08246,0.898051,3.00004,0.599661,0.0170503,-0.799925,0.0153772,0.00334524,-0.00329633,-0.00279647,-0.000586462,0.00703137,0.0244025,-0.00664748,-0.0273131,0.0529377
1413393214005760512,-2.08124,0.8966,2.99869,0.599691,0.0168229,-0.799912,0.0151238,0.00115777,0.00964006,-2.09775e-05,-0.000588736,0.00712682,0.0246312,-0.00900861,-0.0302146,0.0530784
1413393214055760384,-2.08391,0.897898,3.00237,0.599433,0.0182419,-0.800065,0.0156175,0.00200853,0.00529369,-0.000979832,-0.000547576,0.00715352,0.0248303,-0.00777239,-0.0320518,0.0598861
