#timestamp, p_RS_R_x [m], p_RS_R_y [m], p_RS_R_z [m], q_RS_w [], q_RS_x [], q_RS_y [], q_RS_z [], v_RS_R_x [m s^-1], v_RS_R_y [m s^-1], v_RS_R_z [m s^-1], b_w_RS_S_x [rad s^-1], b_w_RS_S_y [rad s^-1], b_w_RS_S_z [rad s^-1], b_a_RS_S_x [m s^-2], b_a_RS_S_y [m s^-2], b_a_RS_S_z [m s^-2]
1413393212255760384,-1.34456,0.503589,1.11566,0.602309,0.00669787,-0.79818,0.00938892,-0.00274659,0.00902984,0.00511808,-0.00246283,0.0220529,0.071566,-0.000440799,3.23746e-05,0.000339298
1413393212305760512,-1.05562,0.217302,1.15772,0.603333,-0.00285371,-0.797473,0.00427132,-0.00361214,-0.00126285,-0.0229389,-3.26915e-05,0.000914615,0.00371032,-2.98545e-05,3.59866e-05,-1.77719e-05
1413393212355760384,-0.999639,0.41031,1.27456,0.604003,-0.00228248,-0.796959,0.00559467,-0.0116337,-0.00982648,-0.00434196,-0.000133143,0.00126022,0.00436311,-0.000133004,4.58626e-05,-5.77849e-06
1413393212405760512,-0.95596,0.395724,1.28543,0.604352,-0.00291268,-0.796694,0.00547327,-0.00998867,-0.00631947,-0.00607138,-0.000263254,0.00143353,0.00482145,-4.38207e-05,5.1022e-05,-2.77711e-05
1413393212455760384,-1.05601,0.21727,1.15416,0.603458,-0.00301975,-0.797378,0.00419441,4.65652e-05,-0.00102111,-0.0244061,-3.2698e-05,0.000914767,0.00371095,-5.90515e-05,9.59877e-05,-4.36965e-05
1413393212505760512,-0.872877,0.372004,1.31431,0.604171,-0.00250972,-0.796833,0.00531477,-0.00392202,-0.00514643,-0.0048681,-0.000456932,0.00154008,0.0054874,0.000314825,6.37039e-05,-0.000153978
1413393212555760384,-1.00093,0.409254,1.27341,0.604179,-0.00228188,-0.796826,0.00550828,-0.00256719,-0.00567554,-0.00858379,-0.000133184,0.00126047,0.00436397,-0.000208577,6.1883e-05,-3.16631e-06
1413393212605760512,-1.05579,0.217673,1.15025,0.60366,-0.0029859,-0.797226,0.0041427,0.00270868,0.00756023,-0.0278569,-3.27063e-05,0.000914853,0.00371132,-4.54049e-05,0.000123486,-6.05405e-05
1413393212655760384,-0.763004,0.344941,1.34573,0.603545,-0.00166956,-0.797313,0.00474537,-0.00148244,-0.000136186,-0.00926581,-0.000548323,0.00185122,0.00659987,0.000227485,0.000201991,-0.000204214
1413393212705760512,-0.956494,0.395371,1.28303,0.604787,-0.0030321,-0.796361,0.00569224,0.00717047,0.00249503,-0.0123393,-0.000263374,0.0014339,0.0048226,0.000140738,3.42344e-05,-3.49425e-05
1413393212755760384,-1.00058,0.40971,1.27134,0.604519,-0.00245595,-0.796567,0.00572096,0.00714522,0.00712062,-0.0125119,-0.000133217,0.00126061,0.00436436,-0.000181896,3.1519e-05,-2.28113e-06
1413393212805760512,-0.891567,0.378011,1.30361,0.603309,-0.0011062,-0.797498,0.00378354,0.00213134,-0.00702797,-0.0106863,-0.000422913,0.00207537,0.00768136,0.000101324,0.00095819,-6.30623e-05
1413393212855760384,-0.871635,0.373079,1.31028,0.60482,-0.00334935,-0.796331,0.00623927,0.0127326,0.01194,-0.0154407,-0.000457162,0.00154045,0.00548862,0.000850986,0.000132166,-0.000242467
1413393212905760512,-0.95392,0.397456,1.28031,0.605171,-0.00441394,-0.796054,0.00692539,0.0181859,0.0177192,-0.0154412,-0.000263431,0.00143401,0.00482283,0.000232206,4.61804e-05,-4.83311e-05
1413393212955760384,-0.933548,0.385555,1.28043,0.603093,-0.00180726,-0.797658,0.00419752,0.00240675,-0.00861991,-0.0100875,-0.000476831,0.00238806,0.00876415,-0.00264258,0.00157715,0.00050725
1413393213005760512,-0.760941,0.346391,1.34117,0.604062,-0.00387268,-0.796897,0.007,0.012777,0.0130712,-0.0151792,-0.000548574,0.00185161,0.00660119,0.000455982,0.000585363,-0.000336938
