#timestamp, p_RS_R_x [m], p_RS_R_y [m], p_RS_R_z [m], q_RS_w [], q_RS_x [], q_RS_y [], q_RS_z [], v_RS_R_x [m s^-1], v_RS_R_y [m s^-1], v_RS_R_z [m s^-1], b_w_RS_S_x [rad s^-1], b_w_RS_S_y [rad s^-1], b_w_RS_S_z [rad s^-1], b_a_RS_S_x [m s^-2], b_a_RS_S_y [m s^-2], b_a_RS_S_z [m s^-2]
1413393212255760384,-1.09068,0.507956,1.33668,0.602701,0.00411939,-0.797914,0.00827636,-0.00354484,0.00290711,0.00420855,-0.00229896,0.0220698,0.0715412,-0.000524894,4.74743e-05,0.000255128
1413393212305760512,-1.07657,0.491977,1.32939,0.60297,-0.00243987,-0.797751,0.00391242,-0.00782238,-0.00688747,-0.00987593,-2.55516e-05,0.000895621,0.00371389,-6.16598e-05,3.83233e-05,-9.94843e-06
1413393212355760384,-1.07822,0.490932,1.33362,0.603242,0.000497838,-0.797534,0.00621324,-0.00760415,-0.00595613,-0.00197498,-9.0997e-05,0.00133781,0.00481337,-0.000248896,7.95112e-05,-1.48162e-05
1413393212405760512,-1.07866,0.491246,1.33567,0.602881,0.000959186,-0.797807,0.00616781,-0.00471498,-0.00136435,-0.000640091,-0.000132229,0.00167172,0.00588634,-0.000597864,0.000118519,1.17759e-05
1413393212455760384,-1.07769,0.49098,1.32779,0.603119,-0.00257811,-0.797638,0.00382664,-0.00547267,-0.00828711,-0.0112085,-2.55564e-05,0.000895768,0.00371453,-0.000139688,0.000100173,-2.34915e-05
1413393212505760512,-1.07882,0.491502,1.33629,0.602849,0.0012676,-0.797831,0.00613355,-0.0019519,-0.00305745,0.00224648,-0.000156117,0.00196441,0.00695994,-0.00100725,0.000190639,6.00766e-05
1413393212555760384,-1.0791,0.490186,1.33296,0.603285,0.000588922,-0.797502,0.00609592,-0.00266227,-0.00656079,-0.00586483,-9.10201e-05,0.00133808,0.00481435,-0.000468209,0.000174147,-1.80191e-05
1413393212605760512,-1.07839,0.490168,1.32587,0.603378,-0.002556,-0.797442,0.003786,-0.00397554,-0.0013445,-0.014493,-2.55627e-05,0.000895851,0.00371489,-0.000144796,0.000125682,-3.56463e-05
1413393212655760384,-1.07908,0.491324,1.33619,0.602808,0.00131071,-0.797863,0.00593258,-0.00301231,-0.00147158,-0.0019372,-0.000167863,0.00223121,0.00799735,-0.00128867,0.000307599,0.000146061
1413393212705760512,-1.07936,0.490694,1.33514,0.602957,0.000990824,-0.79775,0.00614372,0.000190916,-0.00399988,-0.00511179,-0.000132274,0.00167217,0.00588795,-0.00105371,0.000208764,1.87208e-06
1413393212755760384,-1.07924,0.489909,1.3315,0.603462,0.000550437,-0.797369,0.00601633,0.00219909,0.000655955,-0.00939068,-9.10381e-05,0.00133822,0.00481487,-0.00047654,0.000184001,-1.93221e-05
1413393212805760512,-1.07925,0.491063,1.3362,0.602861,0.00126774,-0.797822,0.00609188,-0.000343907,-0.00321647,-0.00270451,-0.000209329,0.00249293,0.00900192,-0.00234189,0.000435699,0.000489203
1413393212855760384,-1.07922,0.491014,1.33539,0.602948,0.00123541,-0.797756,0.00614975,0.000584469,6.33078e-05,-0.00493468,-0.000156171,0.00196495,0.00696189,-0.00123617,0.000299499,0.000118164
1413393212905760512,-1.07917,0.490519,1.33399,0.603085,0.000811098,-0.797653,0.00610216,0.00119475,0.000547256,-0.00724125,-0.000132293,0.00167231,0.00588845,-0.00103868,0.000218489,-1.92819e-05
1413393212955760384,-1.07919,0.490629,1.33615,0.602794,0.00120547,-0.797873,0.00604679,0.000466163,-0.00321295,-0.00274105,-0.000239872,0.00279173,0.00998866,-0.00487265,0.000770158,0.00122018
1413393213005760512,-1.07901,0.490806,1.33479,0.603001,0.00122448,-0.797717,0.0060337,0.00286897,-2.49978e-05,-0.00562553,-0.000167911,0.00223172,0.00799929,-0.00113558,0.000584983,0.0003606
1413393213055760384,-1.07886,0.490851,1.33413,0.603136,0.00106755,-0.797614,0.00617524,0.00266461,-0.000100715,-0.00788579,-0.00015619,0.00196508,0.0069624,-0.00116615,0.000350856,0.000154667
1413393213105760512,-1.07897,0.490512,1.33632,0.602811,0.00124768,-0.79786,0.006109,0.000253386,-0.00143351,-0.00543976,-0.000250287,0.00307512,0.0109439,-0.00688173,0.00113129,0.00150793
1413393213155760384,-1.0788,0.490738,1.33455,0.603046,0.00114206,-0.797682,0.00612412,0.00130222,0.000423254,-0.00804354,-0.000209388,0.00249342,0.00900384,-0.00240599,0.00071174,0.00071026
1413393213205760512,-1.07853,0.490655,1.33294,0.60322,0.00103766,-0.797551,0.00615929,0.00293504,0.00118983,-0.0115403,-0.000167927,0.00223185,0.00799979,-0.0010717,0.000658679,0.000409989
1413393213255760384,-1.07877,0.490551,1.33618,0.602801,0.0012386,-0.797868,0.00601712,0.00129306,-0.000332921,-0.00126177,-0.000264385,0.00332342,0.0118437,-0.00813765,0.00155871,0.00148448
1413393213305760512,-1.07868,0.490456,1.33462,0.603044,0.00119657,-0.797684,0.006062,0.00123414,-0.00202587,-0.00579507,-0.000239934,0.00279223,0.00999056,-0.00536036,0.00111213,0.00139995
1413393213355760384,-1.07825,0.490787,1.33256,0.603333,0.000994309,-0.797464,0.00627955,0.00400914,0.00213811,-0.014347,-0.000209408,0.00249354,0.00900433,-0.00237872,0.000735019,0.000736965
1413393213405760512,-1.07861,0.490465,1.33591,0.602853,0.00117808,-0.797829,0.00607051,0.000681276,0.000384509,-0.00379221,-0.000303244,0.00353919,0.0127255,-0.00881919,0.00199109,0.00140567
1413393213455760384,-1.07863,0.490374,1.33477,0.60301,0.00106542,-0.797709,0.00621237,0.000800402,-0.00185327,-0.00852608,-0.000250343,0.00307561,0.0109458,-0.00739825,0.00143641,0.00131738
1413393213505760512,-1.07819,0.490504,1.33282,0.603255,0.00101256,-0.797523,0.0062542,0.00225438,-0.000332661,-0.011431,-0.000239956,0.00279235,0.00999106,-0.00537994,0.00116611,0.00138992
1413393213555760384,-1.07861,0.490309,1.33562,0.602831,0.00124677,-0.797845,0.00610547,7.88809e-05,-0.000511176,-0.00321188,-0.000311414,0.00380416,0.0136042,-0.0112522,0.00271503,0.00150682
1413393213605760512,-1.07862,0.490311,1.33439,0.603021,0.0011121,-0.797702,0.00612084,0.00190309,0.00117998,-0.00643409,-0.000264435,0.0033239,0.0118456,-0.008389,0.00186455,0.00113194
1413393213655760384,-1.07829,0.490368,1.3331,0.603224,0.00106153,-0.797548,0.00616086,0.00358907,0.000392707,-0.00968097,-0.000250359,0.00307574,0.0109463,-0.00740786,0.00146829,0.00125093
1413393213705760512,-1.07853,0.490185,1.33545,0.602885,0.00115843,-0.797804,0.00611496,0.000926818,-0.00310562,-0.00251567,-0.000334318,0.00406546,0.0144551,-0.0138226,0.00281654,0.00213944
1413393213755760384,-1.07838,0.490055,1.3338,0.603076,0.00111407,-0.797659,0.0061369,0.00298177,-0.00106639,-0.00835362,-0.000303303,0.00353965,0.0127273,-0.00880032,0.00226615,0.00116173
1413393213805760512,-1.0781,0.49016,1.33264,0.603233,0.00104946,-0.797541,0.00614623,0.0036154,0.000407964,-0.0123226,-0.000264449,0.00332402,0.011846,-0.00834865,0.00188684,0.00108263
