#timestamp, p_RS_R_x [m], p_RS_R_y [m], p_RS_R_z [m], q_RS_w [], q_RS_x [], q_RS_y [], q_RS_z [], v_RS_R_x [m s^-1], v_RS_R_y [m s^-1], v_RS_R_z [m s^-1], b_w_RS_S_x [rad s^-1], b_w_RS_S_y [rad s^-1], b_w_RS_S_z [rad s^-1], b_a_RS_S_x [m s^-2], b_a_RS_S_y [m s^-2], b_a_RS_S_z [m s^-2]
1413393212255760384,-1.07611,0.492467,1.32992,0.602649,-0.00181753,-0.797997,0.00347675,-0.00217397,0.00564064,0.00192482,-0.000393264,0.00472555,0.0163859,-0.00157172,2.9173e-05,0.000436497
1413393212305760512,-1.07471,0.491533,1.33373,0.602695,-0.00163708,-0.797962,0.00368873,-0.00146037,0.00153125,0.00137531,-0.000391415,0.0047993,0.0166449,-0.00226162,4.17373e-05,0.000628528
1413393212355760384,-0.843239,0.260358,1.33066,0.602696,-0.000371998,-0.797957,0.00464899,-0.0038871,-0.00136362,0.00136022,-0.000409371,0.00487049,0.0169197,-0.00293956,5.34359e-05,0.000820518
1413393212405760512,-0.84126,0.296829,1.3334,0.60242,0.0169312,-0.7978,0.0178683,-0.00272442,6.30128e-05,0.000823004,-0.000420265,0.00495573,0.0171915,-0.0035866,8.7944e-05,0.00101744
1413393212455760384,-0.856795,0.298066,1.37397,0.602375,0.0175863,-0.797811,0.01826,0.000106909,-0.00292284,0.00190419,-0.000417813,0.00502666,0.0174515,-0.00414284,0.000109437,0.00122424
1413393212505760512,-0.837752,0.280868,1.19583,0.602569,0.00945622,-0.797919,0.0120944,-0.000861225,-0.0026675,0.00260067,-0.000430959,0.00510732,0.0176996,-0.0049834,0.000125312,0.00145319
1413393212555760384,-0.845347,0.289926,1.21358,0.602369,0.0188,-0.797767,0.0191606,-0.000684534,-0.00485471,-0.000386183,-0.000444879,0.00517982,0.0179626,-0.00537394,0.000114239,0.0015799
1413393212605760512,-0.841699,0.289061,1.19535,0.602395,0.0175882,-0.797792,0.018408,-0.00140713,0.00215189,0.000223343,-0.000460877,0.00525365,0.0182266,-0.00599113,0.00015277,0.00177841
1413393212655760384,-0.840795,0.28473,1.19812,0.602495,0.0125492,-0.797895,0.0143897,-0.00191771,-0.000735162,-0.000442702,-0.000475785,0.0053275,0.0184994,-0.00679396,0.000124849,0.00199159
1413393212705760512,-0.842966,0.287618,1.19706,0.602475,0.0147264,-0.797832,0.0164789,0.000888842,-0.00303778,-0.00100499,-0.000475799,0.00539238,0.0187191,-0.00728063,0.000144972,0.0021756
1413393212755760384,-0.846676,0.293105,1.32391,0.602451,0.0154971,-0.797834,0.0165396,0.000289049,0.00122671,-0.000558634,-0.00047754,0.00546739,0.0189704,-0.00790961,0.00012061,0.00238557
1413393212805760512,-0.830805,0.271388,1.21721,0.602703,0.00179592,-0.797939,0.00634175,-0.00025215,-0.00206676,-0.000290809,-0.000501219,0.00553882,0.0191838,-0.00879682,-4.61058e-05,0.00250484
1413393212855760384,-0.823705,0.264517,1.22088,0.602754,-0.00197513,-0.797918,0.00332745,-0.000158099,0.00143906,-0.000187124,-0.000511426,0.00560397,0.0194218,-0.00935314,-0.000168786,0.00238798
1413393212905760512,-0.831109,0.272666,1.22384,0.602699,0.00399946,-0.797921,0.00783889,-0.0012383,0.00139904,-0.000317639,-0.000521839,0.00567864,0.0196814,-0.00982189,-9.52131e-05,0.00251449
1413393212955760384,-0.845188,0.289188,1.29027,0.60249,0.0142665,-0.797843,0.0157918,-0.00132847,-0.00204137,-0.00127656,-0.000530432,0.00573815,0.019921,-0.0101708,0.000314757,0.00313856
1413393213005760512,-0.852132,0.296195,1.29605,0.602356,0.018582,-0.797785,0.019007,0.00031947,0.0013933,0.00011063,-0.000517236,0.00580268,0.0201695,-0.0104501,0.000672121,0.00385196
1413393213055760384,-0.833925,0.278489,1.63755,0.602699,0.00521329,-0.797902,0.00893103,7.69945e-05,0.000278459,-0.000113518,-0.000538484,0.00588085,0.0204074,-0.0114082,-2.96991e-05,0.00291875
1413393213105760512,-0.851576,0.298713,1.65685,0.602378,0.0177878,-0.797796,0.0186256,-0.00126363,-0.000561628,-0.00323635,-0.000516069,0.00594409,0.0206536,-0.0114019,0.000852574,0.0041411
1413393213155760384,-0.850578,0.297747,1.67209,0.602339,0.0175138,-0.797838,0.0183189,-0.00081978,0.000868049,-6.29423e-05,-0.000517433,0.00599341,0.0208716,-0.0117602,0.000900156,0.00422044
1413393213205760512,-0.849541,0.296955,1.66813,0.602387,0.0171534,-0.797815,0.0180837,0.000272535,0.00167498,0.000483479,-0.000524056,0.00606898,0.021094,-0.0121217,0.000911381,0.00433529
1413393213255760384,-0.8417,0.288883,1.63717,0.602493,0.0118271,-0.797916,0.0138904,0.00144016,0.000322014,0.00262112,-0.000526414,0.00611181,0.0212935,-0.012551,0.000718178,0.00405176
1413393213305760512,-0.839005,0.28641,1.65166,0.602552,0.0101811,-0.797916,0.0125992,0.000613661,-0.00186007,0.00248532,-0.000538643,0.00617325,0.0215365,-0.0132513,0.000649647,0.00410971
1413393213355760384,-0.837315,0.283822,1.63277,0.60258,0.00844506,-0.797928,0.0117542,0.00150802,0.0016627,-9.85901e-05,-0.000530379,0.00625711,0.0218154,-0.0140978,0.000587914,0.00412091
1413393213405760512,-0.852585,0.303936,1.56173,0.602143,0.022153,-0.797782,0.02183,0.00150703,0.00181401,0.00163496,-0.000514529,0.00630689,0.0220502,-0.0140788,0.0021656,0.00571234
1413393213455760384,-0.857411,0.310306,1.49469,0.601956,0.0256171,-0.797738,0.0246426,0.000292981,-0.00106657,-0.000327068,-0.000516395,0.00639211,0.0222774,-0.0142138,0.00257378,0.00674917
1413393213505760512,-0.858098,0.31131,1.51154,0.601887,0.0263035,-0.797758,0.0249603,-0.00105278,-0.000558296,0.000398395,-0.000523281,0.0064654,0.022481,-0.0146549,0.00267187,0.00699774
1413393213555760384,-0.85177,0.304249,1.31316,0.602033,0.0229968,-0.797825,0.0224201,-0.000296673,0.00115164,0.00139578,-0.000521501,0.00654333,0.0227116,-0.0153523,0.00267346,0.00643731
1413393213605760512,-0.851393,0.303612,1.32956,0.602063,0.0224721,-0.797826,0.0221257,0.000426006,0.00240364,0.00096987,-0.00051591,0.00662299,0.0229832,-0.0159335,0.00269558,0.00661812
1413393213655760384,-0.851869,0.304139,1.31555,0.602064,0.0228877,-0.797809,0.0222763,0.000258938,0.000438832,-0.000251424,-0.000535846,0.0066851,0.0231403,-0.0162515,0.00276074,0.00673328
1413393213705760512,-0.851167,0.303333,1.31971,0.602084,0.0226515,-0.797801,0.0222846,0.000481524,-0.00158661,-0.000226519,-0.000548641,0.00675853,0.0233874,-0.0169775,0.00268782,0.00710365
1413393213755760384,-0.850733,0.302724,1.31941,0.602061,0.0227397,-0.797813,0.0223631,0.00107636,2.61984e-05,-0.00141201,-0.000557438,0.00680608,0.0235611,-0.0172462,0.00280885,0.00726993
1413393213805760512,-0.850514,0.302438,1.31988,0.602092,0.0227168,-0.797791,0.0223416,0.000378767,0.000454656,-0.00383088,-0.000580404,0.00685114,0.0237464,-0.0175283,0.00288128,0.00725047
1413393213855760384,-0.849657,0.301375,1.32199,0.602115,0.0225348,-0.797782,0.0222562,-0.000411803,-0.000572075,-0.00171721,-0.000604627,0.00692741,0.0239679,-0.0181557,0.0028904,0.00731795
1413393213905760512,-0.849243,0.300673,1.32256,0.602066,0.0224247,-0.797825,0.0220933,0.000373247,-0.00246625,-0.00193948,-0.000572779,0.00697605,0.0241615,-0.0183153,0.00329462,0.00713889
1413393213955760384,-0.848909,0.300324,1.31486,0.602004,0.0225773,-0.797865,0.0222184,0.0010828,-0.0025953,0.000677566,-0.000589555,0.00702172,0.0243919,-0.0189022,0.00330518,0.00743432
1413393214005760512,-0.848859,0.300048,1.32312,0.601902,0.0227642,-0.79793,0.022459,7.95967e-06,0.0112063,0.00384286,-0.000583575,0.00710207,0.024622,-0.0196412,0.003417,0.00777396
1413393214055760384,-0.848688,0.299828,1.32608,0.602041,0.0228421,-0.797825,0.0223653,0.0018585,0.00792471,0.00120432,-0.000566832,0.00712315,0.0248104,-0.0203404,0.00383402,0.00794314
1413393214105760512,-0.849389,0.300539,1.31943,0.601759,0.0232756,-0.798015,0.0227124,-0.000114377,0.00292247,0.00197063,-0.000577833,0.00720731,0.0249957,-0.0205295,0.00388177,0.00806244
1413393214155760384,-0.84945,0.300396,1.3332,0.601975,0.0232395,-0.797854,0.0227091,0.00241683,5.04595e-06,0.00039713,-0.000565557,0.0072693,0.0251985,-0.021041,0.00404314,0.00822638
1413393214205760512,-0.849254,0.300103,1.33787,0.601883,0.0233098,-0.797915,0.0229324,-8.81021e-06,0.00150461,-0.000217604,-0.000582971,0.00733422,0.0254329,-0.0213933,0.0040082,0.0085493
1413393214255760384,-0.84957,0.300382,1.33927,0.602004,0.0235072,-0.797823,0.0227339,-0.000379226,-5.1816e-06,-0.000336445,-0.000579702,0.00738169,0.0256053,-0.0216238,0.00405571,0.00868883
1413393214305760512,-0.84967,0.300383,1.35145,0.601995,0.0234546,-0.797825,0.0229566,7.41056e-05,-0.0036972,-0.0018742,-0.000588834,0.00745779,0.025852,-0.0223158,0.00402401,0.00941702
1413393214355760384,-0.849188,0.299937,1.34957,0.602035,0.0234694,-0.797795,0.0229324,-0.000671451,0.0011237,-0.000100826,-0.000626646,0.00750907,0.0260117,-0.0228504,0.00404475,0.00964868
1413393214405760512,-0.849006,0.299711,1.35295,0.602016,0.0233987,-0.797816,0.0227967,5.94372e-05,-0.000548635,-0.000716564,-0.000633831,0.00760026,0.0261786,-0.0232425,0.00386098,0.00979881
1413393214455760384,-0.849192,0.299831,1.35434,0.602063,0.0235813,-0.797766,0.0230961,-0.000428068,0.00096847,0.00048933,-0.000662044,0.00759792,0.0263651,-0.0233862,0.00405785,0.0102708
1413393214505760512,-0.849241,0.2999,1.35517,0.602034,0.0236962,-0.797786,0.0230396,-0.000455603,0.000497912,0.00227702,-0.000651661,0.00766426,0.0265878,-0.023831,0.0042492,0.0108957
1413393214555760384,-0.850866,0.301784,1.35997,0.601996,0.0245619,-0.797766,0.0238223,0.000439681,-0.000903014,0.000712842,-0.000677102,0.00775309,0.0267223,-0.0237637,0.00444564,0.0116827
1413393214605760512,-0.851995,0.302198,1.45072,0.601957,0.0248808,-0.797783,0.0238789,-0.0013335,0.00086121,4.92845e-05,-0.000679803,0.00779126,0.0269455,-0.0240192,0.0045906,0.0124304
1413393214655760384,-0.855163,0.306027,1.43153,0.601883,0.026701,-0.797736,0.0253313,0.000970605,-0.00156218,0.00103787,-0.000700914,0.00785,0.0271022,-0.0241484,0.00411725,0.0145196
1413393214705760512,-0.852691,0.301247,1.57998,0.601991,0.0245382,-0.797773,0.0237173,-0.000996262,-7.71381e-05,-0.00168573,-0.000713575,0.00793892,0.0273168,-0.0247864,0.00447585,0.0143593
1413393214755760384,-0.85154,0.299726,1.53252,0.601986,0.0237483,-0.797821,0.023045,0.000104131,-0.00103259,-0.000796218,-0.000728594,0.00797753,0.0274704,-0.024972,0.00405705,0.015272
1413393214805760512,-0.848816,0.296565,1.55267,0.602026,0.0221781,-0.797867,0.0219491,0.000324061,0.000179526,-0.000844648,-0.000732272,0.00800156,0.027634,-0.0251149,0.00419994,0.0158742
1413393214855760384,-0.844927,0.292187,1.31967,0.602057,0.0202287,-0.797936,0.0204195,-0.000183263,0.00105571,-0.00111197,-0.000799605,0.00808648,0.0278164,-0.0255278,0.00369396,0.0167758
1413393214905760512,-0.842588,0.290666,1.36908,0.602037,0.0184615,-0.798027,0.0190855,0.000810968,-0.000451973,-0.00080966,-0.000790177,0.00811559,0.0280162,-0.0250759,0.00420473,0.0179902
1413393214955760384,-0.837608,0.28706,1.34583,0.601993,0.0163958,-0.798139,0.0176216,0.000396283,0.000112727,0.000416333,-0.000775399,0.0081613,0.0282034,-0.0247879,0.00516652,0.0193601
1413393215005760512,-0.834887,0.284553,1.37785,0.601885,0.0146142,-0.798283,0.0162801,0.000446932,0.000692606,0.00116183,-0.000792651,0.00822411,0.0283452,-0.0243637,0.00608825,0.0218345
1413393215055760384,-0.83369,0.282535,1.33862,0.601657,0.0128681,-0.798514,0.0148301,-0.00117273,-0.00297076,0.00220943,-0.000792483,0.00830135,0.0285392,-0.02428,0.00616963,0.0241337
1413393215105760512,-0.830265,0.280397,1.16035,0.601421,0.0115595,-0.798724,0.0141255,-0.00192471,-0.00814706,-0.0037735,-0.000795679,0.00833653,0.0287328,-0.0236027,0.00729703,0.027822
