#timestamp, p_RS_R_x [m], p_RS_R_y [m], p_RS_R_z [m], q_RS_w [], q_RS_x [], q_RS_y [], q_RS_z [], v_RS_R_x [m s^-1], v_RS_R_y [m s^-1], v_RS_R_z [m s^-1], b_w_RS_S_x [rad s^-1], b_w_RS_S_y [rad s^-1], b_w_RS_S_z [rad s^-1], b_a_RS_S_x [m s^-2], b_a_RS_S_y [m s^-2], b_a_RS_S_z [m s^-2]
1413393216155760384,-1.07968,0.491998,1.3301,0.601041,-0.00124635,-0.799213,0.00274029,-0.0117031,-0.00956815,0.00384705,-0.000227024,0.00478432,0.016104,-0.00377004,2.13134e-05,0.00115459
1413393216205760512,-1.04566,0.773784,1.33332,0.600778,0.00163546,-0.7994,0.0048283,-0.0117852,-0.00543647,0.000140256,-0.000184158,0.0048554,0.0163844,-0.0055126,3.77564e-05,0.0016864
1413393216255760384,-1.14753,0.75697,1.32956,0.599543,0.00803559,-0.800243,0.00977844,-0.0158438,-0.00380719,0.00448286,-0.000188065,0.00495346,0.0166436,-0.0072501,5.08374e-05,0.00219767
1413393216305760512,-1.12208,0.791956,1.39629,0.597253,0.0469646,-0.799731,0.0389094,-0.00925535,-0.00971108,0.00525519,-0.000215538,0.0050294,0.0169708,-0.0084608,0.000136187,0.00262543
1413393216355760384,-1.15635,0.800012,1.36512,0.597263,0.035509,-0.80067,0.030704,0.000832368,0.000183854,0.00169657,-0.00019423,0.00515473,0.0171418,-0.00991577,2.10258e-05,0.00278393
1413393216405760512,-1.16597,0.810936,1.3333,0.596452,0.0422912,-0.800734,0.0358035,0.00108093,-0.010951,-0.00331155,-0.00018266,0.00521545,0.0173793,-0.0109108,8.4875e-05,0.00336673
1413393216455760384,-1.16828,0.815904,1.2377,0.59639,0.0453499,-0.800528,0.0376413,-0.00430159,-0.00461482,0.0131291,-0.000217231,0.00526043,0.0176127,-0.01203,0.000120556,0.00397785
1413393216505760512,-1.17525,0.822694,1.12333,0.594398,0.0493376,-0.801646,0.0402628,0.00233789,0.00745655,0.0132605,-0.000152474,0.00526894,0.0178477,-0.0130016,0.000200184,0.00488745
1413393216555760384,-1.15423,0.790192,1.69276,0.594976,0.0262312,-0.803002,0.0224229,0.00160241,0.0121202,-0.0214361,-0.000226407,0.00527744,0.0179634,-0.0166772,-0.00029714,0.00198182
1413393216605760512,-1.19571,0.83888,0.769525,0.592915,0.0504625,-0.80259,0.0418997,-0.000524638,0.0189941,-0.0133219,-0.000213588,0.00533725,0.0183186,-0.0154672,0.000151174,0.00638333
1413393216655760384,-1.14144,0.776386,1.25709,0.595385,0.0209501,-0.802937,0.0192342,0.00109053,0.00629033,0.021732,-0.000217429,0.00535805,0.0184675,-0.0200165,-2.7817e-05,0.000908383
1413393216705760512,-1.12794,0.760184,1.37879,0.59626,0.0150654,-0.802558,0.0121962,0.016546,0.0184569,0.0337697,-0.000273766,0.00541201,0.0186357,-0.0217673,0.000173682,0.00104623
1413393216755760384,-1.11576,0.746783,1.15696,0.596751,0.00996959,-0.80235,0.00482316,0.0104773,0.0154182,0.0473438,-0.000300691,0.0054489,0.0189044,-0.0237193,0.000178611,-0.000538312
1413393216805760512,-1.10192,0.733859,1.22318,0.597652,0.00492861,-0.801739,-0.00163304,0.0187977,0.00506792,0.0879606,-0.000296792,0.00554091,0.0191432,-0.0258953,0.000334073,-0.00299181
1413393216855760384,-1.08989,0.723094,0.974555,0.598698,0.00052299,-0.80094,-0.00746139,0.0270851,0.00704312,0.094262,-0.000288465,0.00559482,0.0194039,-0.0280786,0.000394862,-0.00568605
1413393216905760512,-1.08161,0.715191,0.659703,0.600668,-0.00378769,-0.799386,-0.0129108,0.0381204,-0.00600133,0.129782,-0.000276589,0.00565829,0.0196335,-0.0303519,0.000186937,-0.00879406
1413393216955760384,-1.07289,0.710533,0.18282,0.60077,-0.00493077,-0.799207,-0.017867,0.0456337,-0.00772215,0.143038,-0.000258232,0.00576131,0.0198434,-0.0323605,3.39932e-05,-0.0119427
1413393217005760512,-1.1317,0.771313,1.23592,0.599457,0.0198805,-0.800159,-0.00149458,0.0615559,-0.0132956,0.159844,-0.000341093,0.00590382,0.0201234,-0.0295108,-0.000375443,0.00106758
1413393217055760384,-1.0635,0.704523,0.248867,0.598293,-0.00562012,-0.800965,-0.0216543,0.0686899,-0.0425636,0.224687,-0.00027579,0.00595398,0.0203482,-0.0353651,-0.00057553,-0.0156669
1413393217105760512,-1.05552,0.699154,0.245763,0.597407,-0.00668856,-0.801592,-0.0225928,0.0826658,-0.0499698,0.272305,-0.000263804,0.00601332,0.0205639,-0.0369567,-0.000914039,-0.0186165
1413393217155760384,-1.05052,0.693566,0.454521,0.596223,-0.00765965,-0.802463,-0.0226486,0.0890543,-0.0727894,0.275847,-0.000257794,0.00607259,0.0207988,-0.0383072,-0.00146822,-0.0214046
1413393217205760512,-1.04314,0.68874,0.5245,0.595602,-0.00806307,-0.802914,-0.0228618,0.0990184,-0.0869748,0.262727,-0.000229359,0.00612306,0.0210054,-0.0393751,-0.00154139,-0.0234788
