#timestamp, p_RS_R_x [m], p_RS_R_y [m], p_RS_R_z [m], q_RS_w [], q_RS_x [], q_RS_y [], q_RS_z [], v_RS_R_x [m s^-1], v_RS_R_y [m s^-1], v_RS_R_z [m s^-1], b_w_RS_S_x [rad s^-1], b_w_RS_S_y [rad s^-1], b_w_RS_S_z [rad s^-1], b_a_RS_S_x [m s^-2], b_a_RS_S_y [m s^-2], b_a_RS_S_z [m s^-2]
1413393216155760384,-1.07968,0.491999,1.33011,0.601038,-0.000980473,-0.799217,0.00239579,-0.00628158,-0.00297953,0.0114733,-0.000269583,0.00476235,0.0160347,-0.00329265,4.00183e-06,0.000999945
1413393216205760512,-1.0759,0.566121,1.33722,0.60076,-0.000328878,-0.799424,0.00294347,-0.00643893,0.000901834,0.00754252,-0.000223077,0.00483415,0.0163147,-0.00480365,8.62092e-06,0.00145827
1413393216255760384,-1.39122,1.18443,1.42593,0.59946,0.00820239,-0.800306,0.00950814,-0.0100967,0.0021078,0.0113114,-0.00021726,0.00493186,0.0165742,-0.00632786,2.01691e-05,0.00192624
1413393216305760512,-1.36746,1.08788,1.06905,0.597829,0.028413,-0.800746,0.0244934,-0.0027356,-0.0016219,0.00986446,-0.000207592,0.00501129,0.0169038,-0.0076487,3.95176e-06,0.00231439
1413393216355760384,-1.40143,1.13904,1.09384,0.597114,0.034028,-0.800906,0.0291105,0.00581126,0.00721629,0.00513742,-0.000175122,0.00513241,0.0170869,-0.00895978,3.54472e-06,0.00270238
1413393216405760512,-1.3947,1.13423,0.852014,0.596758,0.0265816,-0.801634,0.023569,0.00728693,-0.00322576,-0.00290802,-0.000179893,0.00518488,0.0172776,-0.0105427,-3.57586e-05,0.00306405
1413393216455760384,-1.39477,1.13307,1.50675,0.596493,0.0392372,-0.800994,0.0326525,0.000446328,0.00164555,0.0149533,-0.000211238,0.0052326,0.0175243,-0.0114284,4.94082e-05,0.00351731
1413393216505760512,-1.40139,1.13605,0.759478,0.595183,0.0225011,-0.803033,0.0197437,0.00896981,0.0139835,0.0129966,-0.000141586,0.00523019,0.0177085,-0.0133986,-8.56917e-05,0.00378907
1413393216555760384,-1.40318,1.14097,1.83902,0.593765,0.044381,-0.802622,0.0356682,0.00448922,0.0146238,-0.0176421,-0.000181617,0.00527419,0.0179486,-0.0138052,0.00013839,0.00445991
1413393216605760512,-1.37508,1.12312,1.67589,0.594137,0.0160225,-0.804043,0.0161089,0.00431488,0.0210477,-0.0135812,-0.000206203,0.005286,0.0181622,-0.016294,-9.42067e-05,0.00386128
1413393216655760384,-1.41426,1.15895,2.00401,0.593773,0.04601,-0.802439,0.0375485,0.00309895,0.00653055,0.0233241,-0.000167451,0.00536994,0.0184596,-0.0163431,0.000162975,0.00532656
1413393216705760512,-1.41656,1.16821,1.82652,0.594516,0.0497437,-0.80166,0.0376632,0.0168089,0.0195228,0.0353461,-0.000191909,0.00543138,0.0186646,-0.0175282,0.000283785,0.00538262
1413393216755760384,-1.42103,1.18218,1.87851,0.594751,0.0531976,-0.801305,0.0367729,0.0106508,0.0158402,0.0477236,-0.000201,0.00546203,0.0189277,-0.0185845,0.000334123,0.00588489
1413393216805760512,-1.42482,1.19146,1.92115,0.595436,0.0562259,-0.800611,0.0362906,0.0182325,0.00642123,0.0874671,-0.000205646,0.0055401,0.0191591,-0.0197862,0.000302438,0.00627737
1413393216855760384,-1.4312,1.20132,2.02409,0.596319,0.0587031,-0.799803,0.0356897,0.025171,0.00999854,0.0931165,-0.000204241,0.00559406,0.0194089,-0.0209318,0.00028274,0.00678051
1413393216905760512,-1.43176,1.20753,2.34541,0.598157,0.0611828,-0.798248,0.0355688,0.0359896,-0.000607037,0.128346,-0.000212774,0.00566326,0.0196428,-0.0220395,0.00028612,0.00721556
1413393216955760384,-1.38612,1.15506,2.01197,0.599354,0.0405622,-0.799293,0.0161199,0.0430367,-0.00333729,0.141684,-0.00020379,0.00575064,0.0197948,-0.0249512,0.00030143,0.00415621
1413393217005760512,-1.43377,1.21659,2.81413,0.597874,0.0641023,-0.798405,0.0314427,0.0593099,-0.00806596,0.159696,-0.000199514,0.00586214,0.0201106,-0.0243581,0.000260876,0.00786122
1413393217055760384,-1.37965,1.15271,1.47483,0.597016,0.0411679,-0.801063,0.013223,0.0683114,-0.0359475,0.224561,-0.000223141,0.00595521,0.0203045,-0.0273672,0.000187047,0.00365153
1413393217105760512,-1.42687,1.21424,2.64144,0.59498,0.0660852,-0.800402,0.0314444,0.0868338,-0.0342987,0.2745,-0.000226189,0.00605941,0.0205936,-0.0261052,0.000285666,0.00836538
1413393217155760384,-1.37277,1.15276,1.49138,0.594712,0.0421717,-0.802705,0.0142957,0.0927883,-0.062251,0.277769,-0.000211949,0.00610268,0.0207635,-0.0292429,0.000178299,0.00304048
1413393217205760512,-1.41393,1.20943,2.30571,0.592939,0.0659614,-0.801907,0.0319201,0.112383,-0.0659813,0.267198,-0.000202517,0.0061917,0.0210503,-0.0276299,0.000588858,0.00816764
1413393217255760384,-1.36555,1.15542,1.56317,0.594255,0.0453018,-0.802859,0.0150459,0.111054,-0.0814062,0.248158,-0.000137926,0.00619508,0.0212366,-0.0305288,0.000340314,0.0027008
1413393217305760512,-1.37291,1.1704,1.8054,0.593558,0.053703,-0.802754,0.0197911,0.126167,-0.0913479,0.211292,-0.000158025,0.00628776,0.021475,-0.0308485,0.000649032,0.00363378
1413393217355760384,-1.37418,1.17401,1.99242,0.592561,0.0570748,-0.803199,0.0220528,0.140083,-0.106251,0.177311,-0.000177257,0.00633827,0.0216862,-0.0314444,0.000718561,0.00408669
1413393217405760512,-1.37014,1.17435,2.13337,0.591526,0.0588115,-0.803821,0.0225878,0.159577,-0.108304,0.163848,-0.000184912,0.0063729,0.0219063,-0.0321656,0.000861488,0.00444199
1413393217455760384,-1.36339,1.17146,2.26097,0.590525,0.0592145,-0.804514,0.0230427,0.173726,-0.130814,0.145678,-0.000184199,0.00646354,0.0221421,-0.0330909,0.00103546,0.00476937
1413393217505760512,-1.35505,1.16718,2.24259,0.590043,0.0613086,-0.804691,0.0237353,0.179887,-0.151543,0.131362,-0.00020494,0.00651485,0.0223178,-0.0338047,0.00137541,0.0048968
1413393217555760384,-1.34828,1.16314,2.23597,0.590028,0.0624282,-0.8046,0.0242738,0.202445,-0.148434,0.106228,-0.000243209,0.00659185,0.02257,-0.0345364,0.00148577,0.00524603
1413393217605760512,-1.34284,1.16321,2.30419,0.590083,0.0661487,-0.8042,0.0262379,0.212426,-0.180329,0.0865077,-0.00025007,0.00666364,0.0227499,-0.0349319,0.00175704,0.00603966
1413393217655760384,-1.33258,1.15489,2.38519,0.590001,0.066604,-0.804206,0.0267496,0.224544,-0.184815,0.0928168,-0.000250271,0.00671843,0.0229235,-0.0354088,0.00192473,0.0059655
1413393217705760512,-1.32195,1.14636,2.41661,0.590085,0.0670096,-0.804106,0.026911,0.232158,-0.203904,0.134788,-0.000287855,0.00677878,0.0231548,-0.0359753,0.00210002,0.0060381
1413393217755760384,-1.30975,1.13464,2.45807,0.590417,0.0666056,-0.803897,0.0268451,0.243439,-0.233525,0.178457,-0.000300083,0.00688745,0.0233467,-0.0367431,0.002312,0.00578927
1413393217805760512,-1.29758,1.12319,2.50199,0.590261,0.0664835,-0.80401,0.0272146,0.250449,-0.237806,0.209966,-0.00028372,0.00691186,0.0235076,-0.0372391,0.00247657,0.00548286
1413393217855760384,-1.28493,1.111,2.5024,0.590236,0.0657435,-0.804072,0.0277226,0.2605,-0.248792,0.233817,-0.000349952,0.00698493,0.0237691,-0.037754,0.00281116,0.00543208
1413393217905760512,-1.27211,1.09808,2.53554,0.590318,0.0657421,-0.803991,0.028307,0.263798,-0.274522,0.271758,-0.000337778,0.00706346,0.0239488,-0.0380666,0.00306192,0.00497418
1413393217955760384,-1.25878,1.08446,2.54664,0.590986,0.0654388,-0.803519,0.0284707,0.272668,-0.273026,0.291745,-0.000354093,0.00713835,0.0241904,-0.0387356,0.00328174,0.00484146
1413393218005760512,-1.24496,1.07037,2.5643,0.590622,0.0643493,-0.803833,0.029619,0.281942,-0.290481,0.269206,-0.000376799,0.00723765,0.0244221,-0.0392909,0.00346769,0.00464877
1413393218055760384,-1.23055,1.05543,2.58218,0.590842,0.0622444,-0.80372,0.0326438,0.287129,-0.301074,0.218053,-0.000379872,0.00726667,0.0245315,-0.0393732,0.00378631,0.00445114
1413393218105760512,-1.21605,1.04055,2.57878,0.590196,0.0596283,-0.804258,0.0358063,0.290403,-0.291604,0.191403,-0.000388233,0.0073103,0.0247593,-0.0397486,0.00403999,0.00404505
1413393218155760384,-1.20141,1.02537,2.59445,0.589699,0.0556667,-0.804656,0.0410385,0.296399,-0.309512,0.141165,-0.000413608,0.00733005,0.0249747,-0.0402557,0.00453983,0.00390546
1413393218205760512,-1.18618,1.00993,2.607,0.589438,0.0519435,-0.804755,0.0472673,0.305751,-0.302757,0.0895704,-0.000390959,0.0073743,0.0251027,-0.0408085,0.00490576,0.00360404
1413393218255760384,-1.1705,0.995403,2.61116,0.588101,0.0472944,-0.805658,0.0530679,0.316916,-0.266913,0.0405943,-0.000351756,0.00740967,0.0252919,-0.0414713,0.00529706,0.00332646
1413393218305760512,-1.1548,0.981653,2.6204,0.586347,0.0437822,-0.806833,0.0574532,0.310489,-0.268606,0.00468996,-0.000444463,0.00749612,0.0255208,-0.0425753,0.00580868,0.00327571
1413393218355760384,-1.13893,0.968796,2.63356,0.586079,0.0440061,-0.806991,0.0577954,0.315041,-0.237251,-0.0352788,-0.000370399,0.00748379,0.0256606,-0.043343,0.00629725,0.0030653
1413393218405760512,-1.12298,0.957178,2.67497,0.587225,0.0461542,-0.806357,0.0531526,0.316077,-0.197429,-0.0608694,-0.000367937,0.00754134,0.0258664,-0.0444871,0.0067967,0.003114
