#timestamp, p_RS_R_x [m], p_RS_R_y [m], p_RS_R_z [m], q_RS_w [], q_RS_x [], q_RS_y [], q_RS_z [], v_RS_R_x [m s^-1], v_RS_R_y [m s^-1], v_RS_R_z [m s^-1], b_w_RS_S_x [rad s^-1], b_w_RS_S_y [rad s^-1], b_w_RS_S_z [rad s^-1], b_a_RS_S_x [m s^-2], b_a_RS_S_y [m s^-2], b_a_RS_S_z [m s^-2]
1413393212255760384,-1.07612,0.492468,1.32994,0.602628,-0.00188113,-0.798012,0.00355984,-0.00182993,0.00436835,0.00183598,-0.00038986,0.00468968,0.0162821,-0.000579652,1.90775e-05,0.000154514
1413393212305760512,-1.07627,0.492476,1.33003,0.60268,-0.00272996,-0.797973,0.00294929,-0.00117028,0.000261094,0.000997288,-0.000393159,0.00475926,0.0165442,-0.00159769,4.93793e-05,0.000434639
1413393212355760384,-1.07685,0.492796,1.33008,0.602616,-0.0156012,-0.79785,-0.00679974,-0.0028346,-0.00167938,0.000577003,-0.00040514,0.00482809,0.0168148,-0.00259355,3.50637e-05,0.000733528
1413393212405760512,-1.06694,0.486523,1.33038,0.602508,-0.0217147,-0.797736,-0.0114207,-0.00252445,0.00110547,0.000404639,-0.000417828,0.004915,0.017088,-0.00325414,-1.44133e-05,0.00120678
1413393212455760384,-1.05265,0.472941,1.33057,0.602339,-0.024231,-0.797758,-0.0135641,-0.00044938,-0.00221296,0.00085265,-0.000414354,0.00498411,0.0173489,-0.0039383,-0.000261112,0.00186892
1413393212505760512,-1.07593,0.493673,1.32888,0.602714,-0.0134072,-0.797828,-0.00523261,-0.00175544,-0.00356434,0.000761802,-0.000424684,0.00506903,0.0175979,-0.0059656,-8.37331e-05,0.00125165
1413393212555760384,-1.06228,0.47562,1.33034,0.60228,-0.0265609,-0.7977,-0.0151369,-0.00236295,-0.00569857,-0.00220063,-0.000431955,0.0051394,0.0178637,-0.00546881,0.000100167,0.00300926
1413393212605760512,-1.06802,0.479222,1.33035,0.602315,-0.0263634,-0.797685,-0.0148503,-0.00182474,0.00147012,-0.00120481,-0.000447823,0.00521275,0.0181303,-0.00632255,1.36346e-05,0.00338075
1413393212655760384,-1.06207,0.475482,1.3298,0.602323,-0.0233069,-0.797811,-0.0127171,-0.0027907,-0.00161911,-0.000441882,-0.000463774,0.00528641,0.0183889,-0.00740974,-4.73287e-05,0.00416358
1413393212705760512,-1.06708,0.481377,1.32911,0.602452,-0.0183784,-0.797897,-0.00865437,0.000432903,-0.00353114,0.000814443,-0.000456287,0.00535989,0.018618,-0.00852277,-4.29181e-05,0.00433619
1413393212755760384,-1.072,0.488491,1.32978,0.60258,-0.0170211,-0.797835,-0.00818001,0.00047619,0.00129093,0.00196582,-0.000467314,0.0054335,0.0188569,-0.0095715,-0.000997376,0.00313099
1413393212805760512,-1.04908,0.458079,1.33117,0.60206,-0.0367,-0.797264,-0.0234065,-0.000319756,-0.00184067,0.000563784,-0.000447304,0.00551344,0.0191152,-0.0088546,-0.00452572,0.00423504
1413393212855760384,-1.05131,0.459551,1.33056,0.602371,-0.0311624,-0.797365,-0.0196866,0.000431076,0.00185145,0.00148412,-0.000448449,0.00557867,0.0193616,-0.0101773,-0.00772095,0.002309
1413393212905760512,-1.05292,0.461457,1.3305,0.602363,-0.0305474,-0.797408,-0.0191498,-0.00196769,0.0013289,0.000152203,-0.000472768,0.00565099,0.0196081,-0.0107922,-0.00775816,0.00272852
1413393212955760384,-1.05323,0.461702,1.33092,0.602291,-0.0303442,-0.797474,-0.0189744,-0.00328213,-0.00237101,-0.0017558,-0.00047521,0.00572314,0.0198508,-0.0113795,-0.00825209,0.00370435
1413393213005760512,-1.05286,0.461445,1.33088,0.60231,-0.0302818,-0.797462,-0.0190168,-0.00130382,0.000737519,-0.00129259,-0.000454226,0.00579175,0.0200908,-0.0121063,-0.00842977,0.00414925
1413393213055760384,-1.05227,0.46092,1.33085,0.602369,-0.0309161,-0.797385,-0.0193404,-0.00136252,-0.000659855,-0.00194756,-0.000461767,0.0058621,0.0203297,-0.0129218,-0.00902728,0.00444712
1413393213105760512,-1.05911,0.469638,1.32975,0.602294,-0.0265471,-0.797682,-0.0155198,-0.00117686,-0.00134074,-0.00530797,-0.000475372,0.00592239,0.020555,-0.0130324,-0.00470918,0.00754558
1413393213155760384,-1.05817,0.468542,1.32958,0.602262,-0.0266632,-0.7977,-0.015657,-0.00024346,0.000355924,-0.00169957,-0.000465153,0.005973,0.0207872,-0.013484,-0.0048117,0.00811922
1413393213205760512,-1.05698,0.467326,1.32952,0.602291,-0.0272622,-0.797649,-0.0160759,0.000926704,0.0013776,-0.000364391,-0.000458687,0.00606029,0.0210232,-0.0140876,-0.00512213,0.00845499
1413393213255760384,-1.05591,0.466059,1.32963,0.602277,-0.0276681,-0.797637,-0.0165112,0.00222351,0.000606638,0.0025254,-0.000451631,0.00610149,0.0212291,-0.0145232,-0.00515956,0.00799527
1413393213305760512,-1.05424,0.464382,1.32976,0.602253,-0.0286757,-0.797602,-0.0173617,0.00199422,-0.000542514,0.00270674,-0.000458113,0.00617469,0.0214713,-0.0153217,-0.00590396,0.00843512
1413393213355760384,-1.05118,0.459739,1.3298,0.602262,-0.0307616,-0.797488,-0.0186522,0.00412025,0.00402324,0.000779891,-0.00045977,0.00625864,0.021731,-0.0162666,-0.00737805,0.00802446
1413393213405760512,-1.07201,0.490108,1.33013,0.601845,-0.0145725,-0.798465,-0.00495628,0.00363055,0.00411094,0.00326718,-0.000495426,0.00631004,0.0219379,-0.0135927,0.0128329,0.0196468
1413393213455760384,-1.07457,0.494801,1.33132,0.601462,-0.0127531,-0.798793,-0.00317959,0.00154826,0.00032777,0.0016254,-0.000508421,0.00639055,0.0221562,-0.0117681,0.0161835,0.0264776
1413393213505760512,-1.05919,0.475853,1.3314,0.601936,-0.0205617,-0.798218,-0.00991342,-0.00120523,-0.000243597,0.00140953,-0.000503574,0.00645842,0.0223578,-0.0151374,0.00826021,0.0157901
1413393213555760384,-1.07087,0.491951,1.334,0.601587,-0.0143634,-0.798665,-0.00461999,-0.00116186,0.000764051,0.00292231,-0.000511765,0.00653036,0.0225808,-0.0130072,0.0165623,0.0238211
1413393213605760512,-1.07033,0.49113,1.33444,0.601568,-0.0148707,-0.798668,-0.00495984,-0.000542042,0.00139791,0.00180853,-0.000516942,0.00660732,0.0228335,-0.013275,0.0161219,0.0248234
1413393213655760384,-1.0696,0.489978,1.33488,0.601632,-0.0155081,-0.798604,-0.00557458,-0.000900575,-0.000768766,-4.98884e-05,-0.000532317,0.00666524,0.0230049,-0.0135833,0.016116,0.0239474
1413393213705760512,-1.07033,0.490867,1.33484,0.601609,-0.014967,-0.798635,-0.00501997,-0.00103309,-0.00290335,-0.000463849,-0.000547934,0.00673985,0.0232398,-0.0140384,0.0162948,0.0256484
1413393213755760384,-1.0701,0.490328,1.33478,0.60156,-0.0149057,-0.798673,-0.00500879,-0.000245651,-0.00123869,-0.00207918,-0.00054921,0.00678307,0.0234306,-0.0140441,0.0168332,0.0261515
1413393213805760512,-1.06999,0.48993,1.33456,0.601599,-0.0149826,-0.798641,-0.0050961,-0.00041673,-0.000422093,-0.0049234,-0.000554348,0.00682306,0.0236262,-0.0143231,0.0171541,0.0259166
1413393213855760384,-1.06904,0.48855,1.33456,0.601689,-0.0154827,-0.798563,-0.00540997,-0.00103375,-0.00106754,-0.00300536,-0.000580011,0.00690031,0.0238491,-0.0153914,0.0171743,0.0253218
1413393213905760512,-1.06862,0.487963,1.33442,0.60167,-0.0156043,-0.798573,-0.00555167,-0.000284275,-0.0032527,-0.00315109,-0.000540657,0.0069448,0.0240436,-0.0157437,0.0177893,0.024754
1413393213955760384,-1.06905,0.488268,1.33421,0.601568,-0.0152018,-0.79866,-0.00523908,0.000610027,-0.00399554,-0.000370498,-0.000560693,0.00699329,0.0242641,-0.0162141,0.0178729,0.0261898
1413393214005760512,-1.06908,0.488225,1.33428,0.60146,-0.0150224,-0.798746,-0.0050222,0.000783811,0.0096589,0.00303084,-0.000561233,0.00707773,0.0244913,-0.0170368,0.0179772,0.0271224
1413393214055760384,-1.06924,0.488258,1.33405,0.601598,-0.0149597,-0.798643,-0.00508019,0.00197416,0.00609913,0.000972173,-0.000547834,0.00710322,0.0246809,-0.0177126,0.0186186,0.0276914
1413393214105760512,-1.06977,0.4888,1.33401,0.601294,-0.0145578,-0.798881,-0.00474809,-0.000716673,0.00155358,0.00237536,-0.00055911,0.00718237,0.0248665,-0.0173784,0.0184747,0.0285465
