#timestamp, p_RS_R_x [m], p_RS_R_y [m], p_RS_R_z [m], q_RS_w [], q_RS_x [], q_RS_y [], q_RS_z [], v_RS_R_x [m s^-1], v_RS_R_y [m s^-1], v_RS_R_z [m s^-1], b_w_RS_S_x [rad s^-1], b_w_RS_S_y [rad s^-1], b_w_RS_S_z [rad s^-1], b_a_RS_S_x [m s^-2], b_a_RS_S_y [m s^-2], b_a_RS_S_z [m s^-2]
1413393212255760384,-1.07611,0.492468,1.32992,0.602628,-0.00188113,-0.798012,0.00355984,-0.00182993,0.00436835,0.00183598,-0.00038986,0.00468968,0.0162821,-0.000579652,1.90775e-05,0.000154514
1413393212305760512,-1.16184,0.480341,1.35672,0.60268,-0.00273003,-0.797973,0.00294903,-0.00117601,0.000263066,0.000982907,-0.000393168,0.00475931,0.0165442,-0.001599,4.93776e-05,0.000434985
1413393212355760384,-1.22704,0.554861,1.26299,0.602635,-0.0154329,-0.797841,-0.00661058,-0.00314204,-0.00222081,0.000571163,-0.000407952,0.0048275,0.0168144,-0.00259018,5.1581e-05,0.000731386
1413393212405760512,-1.16736,0.496508,1.37908,0.602445,-0.0265592,-0.797574,-0.015197,-0.00233006,0.00193115,0.00133462,-0.000416005,0.00491574,0.0170919,-0.00308572,-0.000140324,0.0010201
1413393212455760384,-1.16424,0.492574,1.47866,0.602311,-0.0255894,-0.797714,-0.0148183,0.000969315,-0.000471464,0.00135964,-0.00041315,0.00498411,0.0173515,-0.00393229,-0.000419932,0.00138197
1413393212505760512,-1.18591,0.518271,0.0620362,0.60273,-0.0164933,-0.79774,-0.0074927,-0.00267695,-0.00507902,0.00139407,-0.000418683,0.00506917,0.0176025,-0.00573453,-0.00030824,0.00121711
1413393212555760384,-1.16887,0.496111,0.456159,0.602287,-0.0267058,-0.797684,-0.0154041,-0.00183525,-0.00549074,-0.00210021,-0.000429511,0.0051392,0.0178644,-0.00556231,-0.000386597,0.00249277
1413393212605760512,-1.18261,0.512454,0.235694,0.602611,-0.0149311,-0.797871,-0.00634331,-0.00175914,0.0014182,-0.00114809,-0.000462237,0.0052092,0.0181181,-0.00761331,-0.000408841,0.00196686
1413393212655760384,-1.18208,0.508821,0.532278,0.602489,-0.0241045,-0.797652,-0.0133273,-0.00203955,-0.000796446,-0.000498493,-0.000464193,0.00528608,0.0183898,-0.0078234,-0.000256166,0.00254856
1413393212705760512,-1.19126,0.518904,0.416004,0.602635,-0.0180117,-0.79777,-0.00833192,0.000810947,-0.00315042,0.00071225,-0.000459435,0.00536013,0.0186171,-0.0089902,-0.000115139,0.00265725
1413393212755760384,-1.19849,0.528682,0.693285,0.602802,-0.0167714,-0.797675,-0.00794712,3.1742e-05,0.00130079,0.00177465,-0.000471326,0.00543387,0.0188559,-0.0101499,-0.00111044,0.000988149
1413393212805760512,-1.165,0.48729,0.573319,0.602306,-0.03782,-0.796998,-0.0243113,-0.000535161,-0.00192876,0.000723713,-0.000446756,0.00551228,0.0191171,-0.00975068,-0.00494765,0.000998201
1413393212855760384,-1.16859,0.492313,0.426896,0.6026,-0.0313552,-0.797179,-0.0198984,0.000882779,0.00159359,0.00163056,-0.000447036,0.00557707,0.0193626,-0.0110268,-0.00833879,-0.000624458
1413393212905760512,-1.17056,0.494709,0.431242,0.602587,-0.0306505,-0.797231,-0.0192973,-0.00176785,0.00119258,0.000228076,-0.000471932,0.00564954,0.019609,-0.0116541,-0.00843479,-0.000264795
1413393212955760384,-1.1707,0.494213,0.470496,0.602503,-0.0306307,-0.797296,-0.0192624,-0.00318318,-0.00234423,-0.00170206,-0.000473956,0.00572171,0.0198519,-0.0122409,-0.00890591,0.000667163
1413393213005760512,-1.16997,0.49328,0.458935,0.602517,-0.0305883,-0.797286,-0.0193473,-0.00128248,0.000747185,-0.00126331,-0.000452873,0.00579037,0.0200923,-0.0129989,-0.0093568,0.00101029
1413393213055760384,-1.1697,0.492988,0.446393,0.602583,-0.030466,-0.797247,-0.0190665,-0.00135274,-0.000659254,-0.00192641,-0.000462275,0.00586053,0.0203303,-0.01384,-0.00970406,0.00136262
1413393213105760512,-1.16299,0.483917,0.492496,0.602637,-0.0340942,-0.796973,-0.0223471,-0.00118518,-0.00112748,-0.00522928,-0.000456529,0.0059275,0.0205705,-0.0151705,-0.0154391,-0.00113808
1413393213155760384,-1.1626,0.483417,0.514863,0.602634,-0.0341668,-0.796971,-0.0224452,-0.000229955,0.00060145,-0.00164511,-0.000446027,0.00597805,0.0208027,-0.0158428,-0.0157945,-0.0012468
1413393213205760512,-1.1612,0.482068,0.497338,0.602657,-0.0345578,-0.796928,-0.0227201,0.00098152,0.00151852,-0.000306895,-0.000439289,0.00606538,0.0210386,-0.0165285,-0.0165805,-0.00107916
1413393213255760384,-1.16055,0.481483,0.500315,0.60263,-0.0345812,-0.796944,-0.0228654,0.00229969,0.000674472,0.00255125,-0.000432815,0.00610626,0.0212439,-0.0169727,-0.0169571,-0.0014139
1413393213305760512,-1.15994,0.48139,0.490381,0.602625,-0.0346265,-0.796943,-0.0229492,0.00209371,-0.000498118,0.00271682,-0.000440816,0.00617911,0.021485,-0.0178811,-0.0175425,-0.00119044
1413393213355760384,-1.15909,0.480329,0.500559,0.60266,-0.0350253,-0.796901,-0.0228751,0.0042975,0.00402778,0.000860935,-0.000445407,0.00626215,0.0217425,-0.0188609,-0.0182133,-0.00150647
1413393213405760512,-1.16434,0.487701,0.544488,0.60263,-0.0319758,-0.797118,-0.0204467,0.00477226,0.0046266,0.00401339,-0.000457788,0.00631858,0.0219646,-0.0189841,-0.013731,-0.000379456
1413393213455760384,-1.1724,0.498501,0.607554,0.602532,-0.0278199,-0.797439,-0.0165181,0.00300069,0.00135024,0.00235663,-0.000485446,0.00639527,0.0221754,-0.0182855,-0.00656201,0.00284303
1413393213505760512,-1.18239,0.511392,0.658872,0.602224,-0.022877,-0.797904,-0.0123351,-0.000430749,0.000197607,0.00195787,-0.000512124,0.00646503,0.022368,-0.0167527,0.000483183,0.00958299
1413393213555760384,-1.17245,0.49982,0.532976,0.60197,-0.0237958,-0.798055,-0.01322,-0.000887894,0.000731748,0.00206536,-0.00050849,0.00653309,0.022593,-0.0157612,-0.00160089,0.0136802
1413393213605760512,-1.16878,0.492929,0.616907,0.602144,-0.0282926,-0.797714,-0.016566,-0.0003228,0.001412,0.00170098,-0.000497261,0.00660818,0.0228472,-0.017534,-0.00218239,0.00963902
1413393213655760384,-1.16538,0.490133,0.522453,0.602115,-0.0281718,-0.797738,-0.0166826,-0.00125268,-0.000797485,-0.0001189,-0.000513481,0.00666642,0.0230184,-0.0173979,-0.00305095,0.0104073
1413393213705760512,-1.17323,0.499916,0.554738,0.602003,-0.0240097,-0.798023,-0.0132203,-0.00125096,-0.00314596,-0.00061601,-0.000537552,0.00674098,0.0232498,-0.0169883,-0.00118434,0.0153695
1413393213755760384,-1.17165,0.497485,0.556408,0.602003,-0.0248764,-0.797985,-0.0139448,-0.000471276,-0.00152825,-0.00228774,-0.000536076,0.00678353,0.0234408,-0.0174194,-0.00115019,0.0144335
1413393213805760512,-1.17323,0.499421,0.554046,0.60198,-0.0237709,-0.79805,-0.0131059,-0.000614564,-0.000662175,-0.0051094,-0.000543977,0.00682397,0.0236358,-0.0172773,-0.000817982,0.0158076
1413393213855760384,-1.17137,0.496643,0.562794,0.602108,-0.0249952,-0.797901,-0.0139843,-0.00126107,-0.00129184,-0.003205,-0.000567052,0.00690082,0.023859,-0.0186996,-0.00117951,0.0140082
1413393213905760512,-1.17087,0.495922,0.571436,0.602092,-0.0252315,-0.797902,-0.0142222,-0.00052313,-0.00345348,-0.00330969,-0.000527162,0.00694537,0.0240536,-0.0191313,-0.000902621,0.0132266
1413393213955760384,-1.17341,0.498964,0.563373,0.601933,-0.0235312,-0.798096,-0.012887,0.000466289,-0.00411059,-0.000430053,-0.000550615,0.00699416,0.0242734,-0.0191584,-0.000470134,0.0163014
1413393214005760512,-1.17376,0.499447,0.56719,0.601813,-0.0230575,-0.798208,-0.0124274,0.0009637,0.00958654,0.00303691,-0.000551677,0.00707842,0.0245001,-0.0198993,-0.000305482,0.017567
1413393214055760384,-1.17479,0.500387,0.56177,0.601947,-0.0226556,-0.798122,-0.0122007,0.00210089,0.00604055,0.000982238,-0.000538966,0.00710365,0.0246891,-0.0205488,0.000602703,0.0182506
1413393214105760512,-1.17491,0.500907,0.558515,0.601623,-0.0219264,-0.798395,-0.0116361,-0.000658118,0.0015738,0.00236396,-0.00055145,0.00718254,0.0248741,-0.0200726,6.92868e-05,0.019651
1413393214155760384,-1.17482,0.500854,0.548643,0.601854,-0.0219015,-0.798221,-0.0116666,0.00194888,-0.000533467,0.00119056,-0.000545233,0.00724384,0.0250762,-0.0206252,5.46477e-05,0.0189814
1413393214205760512,-1.17592,0.50168,0.555115,0.601747,-0.0216446,-0.798313,-0.0113005,0.000554578,0.00276535,0.000654171,-0.000569113,0.00730588,0.0253041,-0.0205961,-0.000125215,0.020162
1413393214255760384,-1.17662,0.502364,0.543268,0.601844,-0.0213467,-0.798248,-0.0113684,0.00131354,0.00255437,0.000258828,-0.000560554,0.00735722,0.0254898,-0.0206573,0.000409489,0.0202632
1413393214305760512,-1.17786,0.503968,0.555323,0.601764,-0.0210243,-0.798324,-0.0108397,0.002874,-0.000591318,-0.00151057,-0.000581768,0.00743502,0.0257214,-0.0208059,0.000665866,0.0223783
1413393214355760384,-1.1812,0.507045,0.644466,0.601826,-0.0206249,-0.798293,-0.0104321,0.00263103,0.00403388,0.000160294,-0.000619631,0.00749213,0.0258738,-0.0212562,0.00175656,0.0224714
1413393214405760512,-1.17974,0.506181,0.592756,0.601727,-0.0202537,-0.79838,-0.0102389,0.00243321,0.00115191,-0.000549717,-0.000627292,0.00758712,0.0260513,-0.0208804,0.0014093,0.0239584
1413393214455760384,-1.17838,0.505892,0.560703,0.601663,-0.0196315,-0.79845,-0.00965997,0.000705931,0.00147424,0.000399259,-0.00065869,0.00758031,0.0262469,-0.0199265,0.000962422,0.0270037
1413393214505760512,-1.16338,0.486411,0.560317,0.602508,-0.0284984,-0.797427,-0.0168328,-0.000786499,0.000119478,0.00225152,-0.000618578,0.00763332,0.0264483,-0.0266716,-0.00248275,0.00466379
1413393214555760384,-1.16255,0.485186,0.557385,0.602627,-0.0291979,-0.797304,-0.0171641,-0.000690213,-0.00147719,0.00071164,-0.000642085,0.00772638,0.0265995,-0.0272478,-0.00176454,0.00252772
1413393214605760512,-1.1614,0.483834,0.600716,0.602528,-0.0295794,-0.797353,-0.0177105,-0.00180228,0.000744707,-1.21902e-05,-0.000644024,0.00775981,0.0268041,-0.0270694,-0.00310277,0.0040753
1413393214655760384,-1.16043,0.482142,0.578637,0.602313,-0.0297363,-0.797504,-0.0179314,0.000159384,-0.00149578,0.000819414,-0.000674275,0.00782909,0.0269649,-0.0260872,-0.00619316,0.0101106
1413393214705760512,-1.15913,0.48048,0.572189,0.602129,-0.0297496,-0.797643,-0.0179298,-0.001189,4.24784e-05,-0.00217838,-0.000680227,0.00791615,0.0271676,-0.0251793,-0.00610124,0.0145795
1413393214755760384,-1.16002,0.480748,0.538899,0.601735,-0.0296738,-0.797943,-0.0179575,-0.000271127,-0.00126221,-0.00139162,-0.000698329,0.00795447,0.0273301,-0.0227898,-0.00632368,0.0234039
1413393214805760512,-1.16405,0.483072,0.564018,0.601001,-0.0296748,-0.798504,-0.0176141,0.000790562,-0.000950011,-0.00136503,-0.000708212,0.00797516,0.0274873,-0.0179662,-0.00307688,0.0404365
1413393214855760384,-1.18342,0.507808,0.525619,0.59982,-0.0198565,-0.799833,-0.00947975,-0.000873699,-0.000972848,-0.00107391,-0.000796325,0.00807626,0.0276686,-0.00966962,0.00745069,0.07211
1413393214905760512,-1.17324,0.489722,0.519628,0.599357,-0.027155,-0.799875,-0.0153303,-0.00101578,-0.00145012,-0.00169629,-0.000768204,0.00808878,0.0278664,-0.00692674,0.00302707,0.0795684
1413393214955760384,-1.1741,0.489188,0.537711,0.598642,-0.0277533,-0.800385,-0.0155387,-0.000778599,-0.000700364,-0.000713629,-0.000747574,0.00812658,0.0280531,-0.00253005,0.00672811,0.0946074
1413393215005760512,-1.17483,0.48751,0.542232,0.597718,-0.0283999,-0.801046,-0.0159025,-0.000931166,0.000160387,3.21557e-05,-0.000762176,0.00818641,0.0281956,0.00311174,0.00845476,0.115345
1413393215055760384,-1.17694,0.487923,0.552174,0.59691,-0.0295081,-0.80159,-0.0167948,-0.00231932,-0.00338722,0.0018771,-0.000763221,0.00826524,0.0283949,0.0065589,0.00970026,0.129518
1413393215105760512,-1.17642,0.485575,0.54559,0.595986,-0.031283,-0.802191,-0.0176419,-0.00309226,-0.00859264,-0.0032848,-0.000767881,0.00831516,0.0285808,0.0116363,0.0109596,0.148661
1413393215155760384,-1.1656,0.479323,0.503102,0.597274,-0.0346034,-0.801008,-0.0213163,-0.00219904,-0.00329644,-0.00123747,-0.000780253,0.008347,0.0287572,0.00248959,-0.00305246,0.12022
1413393215205760512,-1.16484,0.477415,0.497453,0.596768,-0.0356334,-0.801314,-0.0222597,-0.00248885,-0.00418136,-0.00316038,-0.000751259,0.00842955,0.0289433,0.00370548,-0.00431015,0.128141
1413393215255760384,-1.16709,0.479395,0.499831,0.59647,-0.0350842,-0.801577,-0.0216424,-0.00209624,-0.00366729,-0.00436739,-0.000774153,0.00841665,0.0290703,0.00606111,-0.00287066,0.137185
1413393215305760512,-1.16704,0.478232,0.48874,0.595926,-0.0357133,-0.801931,-0.022432,-0.00320142,-0.00216853,-0.0043494,-0.000795896,0.00850145,0.0292609,0.00864797,-0.00696302,0.149067
1413393215355760384,-1.1681,0.479167,0.488637,0.595749,-0.0357628,-0.802064,-0.0223244,-0.00192245,-0.00363699,-0.00467881,-0.000794345,0.00852928,0.0293938,0.00914411,-0.00515554,0.153887
1413393215405760512,-1.16913,0.478239,0.49713,0.59508,-0.036173,-0.802529,-0.0227631,-0.00256778,-0.00126486,-0.00320923,-0.000815877,0.00858839,0.0295934,0.0115702,-0.00871922,0.166025
1413393215455760384,-1.16947,0.477736,0.502775,0.594879,-0.0362271,-0.802671,-0.0229448,-0.00440974,-0.000156527,-0.000840237,-0.000844707,0.00871044,0.0297538,0.0105273,-0.00905324,0.167309
1413393215505760512,-1.16993,0.476933,0.500083,0.594374,-0.036487,-0.803025,-0.023228,-0.00217455,-0.00118737,-0.00230395,-0.000851704,0.00874791,0.0299175,0.0124239,-0.0143401,0.17694
1413393215555760384,-1.17122,0.478326,0.479476,0.593836,-0.0361828,-0.803438,-0.023185,-0.00575393,-0.00216233,0.000280276,-0.000890704,0.00879561,0.0300484,0.0152033,-0.0157899,0.187614
1413393215605760512,-1.17192,0.478118,0.471539,0.593413,-0.0360692,-0.803751,-0.0233536,-0.00802973,-0.00361589,0.00348177,-0.000890289,0.00886004,0.0302088,0.0169212,-0.0176397,0.196943
1413393215655760384,-1.17118,0.476977,0.472879,0.593288,-0.0368601,-0.803799,-0.0236334,-0.00744286,-0.000121915,0.00390277,-0.000890397,0.00892964,0.0303383,0.01553,-0.0177261,0.195141
1413393215705760512,-1.16778,0.474865,0.451746,0.593359,-0.0376269,-0.803698,-0.024064,-0.00393461,-0.00291772,-0.00262681,-0.000895782,0.00898702,0.0304733,0.0111143,-0.0159176,0.18041
1413393215755760384,-1.16517,0.47259,0.452708,0.593407,-0.0382714,-0.803611,-0.0247595,-0.000856127,8.359e-06,-0.0042775,-0.000859797,0.00902695,0.0305976,0.00725184,-0.0150222,0.166885
1413393215805760512,-1.16356,0.471647,0.450995,0.593307,-0.0384799,-0.803668,-0.0249836,0.00257648,-0.00219905,0.010352,-0.000842269,0.00908158,0.0307509,0.00466814,-0.0142857,0.159692
1413393215855760384,-1.16036,0.469652,0.437579,0.593585,-0.0391182,-0.803416,-0.0254937,-7.19043e-05,0.00145325,0.00780507,-0.000899775,0.00911046,0.0309552,0.000361023,-0.0141971,0.149094
1413393215905760512,-1.15708,0.46798,0.418829,0.594104,-0.0397119,-0.802996,-0.0257222,1.64959e-05,0.000837545,0.00801309,-0.000867691,0.00915548,0.0311357,-0.00447754,-0.0116248,0.135074
1413393215955760384,-1.15504,0.467026,0.406202,0.59445,-0.0402514,-0.802718,-0.0255591,0.0049244,0.00386243,0.00634803,-0.000833961,0.00919872,0.0313205,-0.00770466,-0.0110712,0.126459
1413393216005760512,-1.15306,0.46563,0.416491,0.594942,-0.0402968,-0.802334,-0.0260796,0.0109969,0.00359297,0.00768338,-0.000874368,0.00923684,0.031466,-0.0109764,-0.00897319,0.116701
1413393216055760384,-1.15259,0.46527,0.418061,0.595076,-0.040036,-0.802237,-0.0264184,0.00350427,0.00536191,0.00370937,-0.000796839,0.00927076,0.0316343,-0.0125098,-0.00504015,0.114251
1413393216105760512,-1.15074,0.464358,0.415971,0.595388,-0.0405117,-0.801982,-0.0264108,0.00273264,0.00524531,-0.00659605,-0.000801404,0.009311,0.0317915,-0.0158369,-0.00322449,0.105862
