#timestamp, p_RS_R_x [m], p_RS_R_y [m], p_RS_R_z [m], q_RS_w [], q_RS_x [], q_RS_y [], q_RS_z [], v_RS_R_x [m s^-1], v_RS_R_y [m s^-1], v_RS_R_z [m s^-1], b_w_RS_S_x [rad s^-1], b_w_RS_S_y [rad s^-1], b_w_RS_S_z [rad s^-1], b_a_RS_S_x [m s^-2], b_a_RS_S_y [m s^-2], b_a_RS_S_z [m s^-2]
1413393212255760384,-1.07612,0.492468,1.32994,0.604798,-0.00590872,-0.796308,0.00888769,-0.00567892,-0.00559354,0.00184591,-5.45415e-05,0.000469354,0.00163072,2.35586e-05,-9.25248e-07,-1.07512e-05
1413393212305760512,-1.08352,0.500849,1.33035,0.607408,-0.0232494,-0.794016,-0.0073814,-0.0107619,-0.00536029,0.00179637,-4.83789e-05,0.000578378,0.00205278,7.91471e-05,-4.02344e-05,-0.000134849
1413393212355760384,-1.08725,0.495847,1.33104,0.605216,-0.0203617,-0.795762,-0.00793333,-0.00546789,-0.00273936,0.00151331,-7.12451e-05,0.00069039,0.00243791,0.000126102,-8.12411e-05,-0.0004756
1413393212405760512,-1.09799,0.507256,1.33626,0.602474,-0.00678192,-0.798108,-0.0016514,-0.00258654,-0.000430891,-0.00036795,-4.013e-05,0.000791284,0.00283961,-2.86986e-05,0.000374713,-0.000912962
1413393212455760384,-1.098,0.508397,1.34177,0.603493,-0.00540753,-0.79735,0.000715209,-0.000606867,-0.00375962,0.000257006,-6.67476e-05,0.000893206,0.00322738,-0.000413067,9.90483e-05,-0.00121537
1413393212505760512,-1.09957,0.510889,1.34091,0.604006,-0.00473175,-0.796964,0.00167678,-0.000651355,-0.00282513,0.00171898,-8.68526e-05,0.000994931,0.0035944,-0.000899125,-0.000184375,-0.00156219
1413393212555760384,-1.09976,0.51303,1.33973,0.604281,-0.00174871,-0.796759,0.00413247,-0.0016471,-0.00573476,-0.001058,-7.31186e-05,0.00111906,0.00400466,-0.00339428,-8.39505e-05,-0.00222328
1413393212605760512,-1.09609,0.507016,1.34319,0.603839,-0.00323816,-0.797096,0.00234852,-0.00250833,0.000641982,-0.000134337,-8.49426e-05,0.00123495,0.00435406,-0.00416778,-0.000112503,-0.00438048
1413393212655760384,-1.09563,0.50917,1.34217,0.604256,-0.00215023,-0.796778,0.00392661,-0.00301002,-0.00165929,-8.61218e-05,-8.60481e-05,0.00134799,0.0047417,-0.00595898,-0.000679313,-0.00437579
1413393212705760512,-1.09746,0.512362,1.33987,0.604265,-0.00218112,-0.796767,0.00465353,0.000481909,-0.00292885,0.000687417,-0.000106348,0.00144988,0.00507418,-0.00586763,-0.00120967,-0.00337559
