#timestamp, p_RS_R_x [m], p_RS_R_y [m], p_RS_R_z [m], q_RS_w [], q_RS_x [], q_RS_y [], q_RS_z [], v_RS_R_x [m s^-1], v_RS_R_y [m s^-1], v_RS_R_z [m s^-1], b_w_RS_S_x [rad s^-1], b_w_RS_S_y [rad s^-1], b_w_RS_S_z [rad s^-1], b_a_RS_S_x [m s^-2], b_a_RS_S_y [m s^-2], b_a_RS_S_z [m s^-2]
1413393212255760384,-1.07611,0.492467,1.32991,0.603533,-0.00214432,-0.797325,0.00392407,-0.00589079,0.000519016,-0.0105229,-0.000148636,0.000786939,0.00314427,-1.27843e-06,1.23436e-05,-7.28076e-06
1413393212305760512,-1.13606,0.424449,1.25785,0.603517,-0.00242159,-0.797335,0.0043454,-0.00418831,-0.00286621,-0.00843057,-0.000145324,0.000910783,0.00353288,-9.09096e-06,1.87164e-05,-9.79616e-06
1413393212355760384,-1.10187,0.243098,1.19491,0.603389,-0.00174246,-0.797433,0.00453266,-0.00492427,-0.00325903,-0.00506179,-0.000159968,0.00104979,0.00394137,-2.71888e-05,2.62963e-05,-8.5285e-06
1413393212405760512,-1.23166,0.252631,1.15594,0.603106,-0.00213793,-0.797647,0.00424966,-0.00375629,-0.000851062,-0.00516923,-0.00015266,0.00117196,0.00431629,-4.19378e-05,3.06014e-05,-1.14899e-05
1413393212455760384,-1.38082,0.357035,1.13203,0.603143,-0.00379907,-0.79762,0.00274658,-0.00198914,-0.0041639,-0.00391678,-0.000156982,0.00127829,0.00464324,-5.65656e-05,3.33026e-05,-1.15165e-05
1413393212505760512,-1.406,0.34762,1.12394,0.603008,-0.00380983,-0.797721,0.00294012,-0.00127683,-0.00320243,-0.00183023,-0.000179161,0.00138095,0.00500496,-6.50246e-05,3.24177e-05,-1.6339e-05
1413393212555760384,-1.44897,0.356243,1.16032,0.602908,-0.0033906,-0.797798,0.00305342,-0.00110074,-0.00501033,-0.00445267,-0.000189839,0.00149923,0.00536796,-0.000102704,3.6226e-05,-7.3856e-06
1413393212605760512,-1.47465,0.338445,1.20259,0.602736,-0.00321147,-0.797928,0.00313517,-0.000967894,0.00251196,-0.00312032,-0.000196053,0.00161702,0.0057411,-0.000150185,3.76644e-05,4.12313e-08
1413393212655760384,-1.49947,0.325577,1.19014,0.602677,-0.00319234,-0.797973,0.00317859,-0.00164752,-0.000160536,-0.00367425,-0.000210266,0.0017214,0.00609554,-0.000181901,3.45153e-05,4.97736e-06
1413393212705760512,-1.44193,0.312794,1.24934,0.602544,-0.00301324,-0.798074,0.00312342,0.000905017,-0.00264274,-0.00508222,-0.000206987,0.00182366,0.00645137,-0.000180096,3.84178e-05,-1.21991e-05
1413393212755760384,-1.49609,0.313703,1.24512,0.602619,-0.00319899,-0.798018,0.00284543,0.000630721,0.00147432,-0.004256,-0.00021411,0.0019357,0.00683197,-0.00033074,3.90828e-05,4.32673e-05
1413393212805760512,-1.50328,0.333048,1.23642,0.602678,-0.00323171,-0.797973,0.0028056,0.000149509,-0.00197542,-0.00393458,-0.000230166,0.00203931,0.00718098,-0.000406838,4.289e-05,6.53975e-05
1413393212855760384,-1.50256,0.345567,1.23661,0.602643,-0.00347061,-0.798,0.00241423,0.000358144,0.000986766,-0.00412701,-0.000238352,0.00213393,0.00750366,-0.000438776,5.21179e-05,7.68302e-05
1413393212905760512,-1.55037,0.359015,1.17318,0.602759,-0.00355315,-0.797912,0.00231461,-0.00018126,0.000397095,-0.00409683,-0.000232539,0.00223373,0.00783991,-0.0006472,7.6773e-05,0.000175748
1413393212955760384,-1.53558,0.218767,1.21146,0.602704,-0.00437421,-0.797951,0.00187522,0.00114597,-0.00248596,-0.00392436,-0.000245416,0.00233453,0.00819233,-0.000899507,7.12028e-05,0.000255843
1413393213005760512,-1.54746,0.189918,1.25605,0.602662,-0.00782834,-0.797958,-0.000950163,0.00235513,0.000508958,-0.00254678,-0.000257389,0.00242644,0.00850451,-0.00101099,7.10886e-05,0.000298654
1413393213055760384,-1.53567,0.120293,1.23341,0.60282,-0.00607357,-0.797854,0.000497569,0.00340727,-0.000104306,-0.00298899,-0.000261336,0.00252747,0.00886864,-0.00139818,7.85583e-05,0.000387269
1413393213105760512,-1.52658,0.0732204,1.23605,0.602782,-0.0103754,-0.797834,-0.0027112,0.00220464,-0.000747966,-0.00640856,-0.000268368,0.00263444,0.0092183,-0.00197369,5.19861e-05,0.000557116
1413393213155760384,-1.53412,0.0800938,1.25967,0.602686,-0.0104289,-0.797905,-0.00279868,0.00158413,0.000685858,-0.00327274,-0.000279948,0.00274667,0.00955953,-0.00252794,5.4011e-05,0.000700191
1413393213205760512,-1.5378,0.0799995,1.25769,0.60272,-0.0101123,-0.797885,-0.00252627,0.00186861,0.00138594,-0.00347532,-0.000289141,0.00283529,0.00988612,-0.00283901,6.33291e-05,0.00081914
1413393213255760384,-1.54193,0.0852213,1.2639,0.602712,-0.0101122,-0.797891,-0.00262822,0.00209964,-1.90854e-05,-0.002203,-0.000302158,0.00292888,0.0101997,-0.0030817,7.06381e-05,0.000881486
1413393213305760512,-1.53984,0.0827844,1.25759,0.602763,-0.0100416,-0.797853,-0.00251134,0.000892807,-0.00171058,-0.00290063,-0.000301751,0.00301433,0.0105186,-0.00355115,4.10904e-05,0.00101153
1413393213355760384,-1.54166,0.0847124,1.26413,0.602742,-0.00996431,-0.797871,-0.00226529,0.00149781,0.00174754,-0.00599265,-0.000315679,0.00310102,0.0108165,-0.00398745,2.06397e-05,0.00111372
1413393213405760512,-1.54635,0.0868136,1.26815,0.602725,-0.00994859,-0.797884,-0.00247419,0.00123401,0.00137782,-0.00391078,-0.000319427,0.00320474,0.0111494,-0.00462857,6.47403e-05,0.00128713
1413393213455760384,-1.54933,0.0919684,1.27368,0.602677,-0.0101527,-0.797917,-0.00262074,-0.000177419,-0.00163259,-0.00597166,-0.00032577,0.00328413,0.0114435,-0.00490652,7.15014e-05,0.00127017
1413393213505760512,-1.55158,0.0960997,1.26935,0.602667,-0.0105503,-0.797917,-0.00309921,-0.0013608,-0.00140998,-0.00539784,-0.000321154,0.00336773,0.0117174,-0.00507103,9.10344e-05,0.0013118
1413393213555760384,-1.55229,0.0967424,1.2572,0.602712,-0.0105094,-0.797884,-0.00305074,0.000268025,0.000226666,-0.00431914,-0.000294444,0.00344243,0.0120392,-0.00533596,8.94403e-05,0.00146986
1413393213605760512,-1.55201,0.0959469,1.25935,0.602742,-0.010553,-0.797861,-0.00303741,0.00129803,0.00145526,-0.00429368,-0.000340113,0.00351361,0.0123717,-0.00573749,0.00011652,0.00161287
1413393213655760384,-1.55431,0.0984946,1.25812,0.602781,-0.0105086,-0.797832,-0.00312592,0.00109156,-0.000586179,-0.00525426,-0.000359858,0.00360447,0.0126897,-0.00601097,0.000164839,0.00171561
1413393213705760512,-1.55465,0.100004,1.2624,0.602808,-0.0105849,-0.79781,-0.00313391,0.00120702,-0.0030217,-0.00540785,-0.000352784,0.00366159,0.0129528,-0.00595606,0.000256078,0.00173589
1413393213755760384,-1.55411,0.0984344,1.25784,0.602815,-0.0107064,-0.797803,-0.00314952,0.0022077,-0.00101581,-0.00629555,-0.00036613,0.00373603,0.0132421,-0.00638606,0.000183085,0.00185105
1413393213805760512,-1.5547,0.0986367,1.26873,0.602838,-0.0104469,-0.79779,-0.00298349,0.00151938,-0.000622938,-0.00838567,-0.000380872,0.00381127,0.0135033,-0.00679694,0.000235742,0.00195667
1413393213855760384,-1.55556,0.0999886,1.27557,0.602862,-0.0104076,-0.797772,-0.00293219,0.000443305,-0.00161497,-0.0060983,-0.000378334,0.00389652,0.013847,-0.00740787,0.000254407,0.00212722
1413393213905760512,-1.55568,0.100559,1.27416,0.602817,-0.010513,-0.797805,-0.00297616,0.000912129,-0.00339384,-0.00630764,-0.000384331,0.00397885,0.0141404,-0.00799503,0.000266043,0.00235458
1413393213955760384,-1.55541,0.0994141,1.27056,0.60275,-0.0105966,-0.797854,-0.00304932,0.0012498,-0.00330738,-0.00364196,-0.000389531,0.00405438,0.0144005,-0.00864046,0.000240813,0.00250859
1413393214005760512,-1.55494,0.101111,1.26098,0.602659,-0.0108246,-0.797919,-0.00316817,0.00120972,0.0106987,-0.000481956,-0.000393897,0.00414172,0.0146855,-0.00948109,0.000221338,0.00280342
1413393214055760384,-1.55281,0.0992716,1.26337,0.602781,-0.0111417,-0.797821,-0.00354691,0.00250533,0.00719428,-0.00356926,-0.000406975,0.00421774,0.0149327,-0.00999055,0.000192314,0.00283079
1413393214105760512,-1.55188,0.0996255,1.24949,0.602512,-0.0111378,-0.798025,-0.0033823,-4.55308e-05,0.00240304,-0.00270417,-0.000408713,0.00431498,0.0152587,-0.0110399,0.000144366,0.00307861
1413393214155760384,-1.54962,0.0976339,1.23991,0.602673,-0.0112349,-0.797901,-0.00355104,0.00191634,-0.000949396,-0.00452093,-0.000420617,0.00439894,0.0155179,-0.0117374,0.00011294,0.00302958
1413393214205760512,-1.54874,0.0974947,1.21718,0.602577,-0.0112578,-0.797975,-0.00328967,-0.000400534,0.000804637,-0.00483232,-0.00042446,0.00449373,0.0158196,-0.0128352,1.31923e-05,0.00322881
1413393214255760384,-1.54781,0.0989078,1.19054,0.602657,-0.0112809,-0.797912,-0.00369794,-0.00110723,-0.000685955,-0.0050357,-0.000429704,0.0045842,0.0160899,-0.0135214,-0.000140604,0.00317855
1413393214305760512,-1.54668,0.0988359,1.18031,0.602647,-0.0113975,-0.797919,-0.00356257,-0.00102652,-0.00451699,-0.00696619,-0.000430122,0.00466114,0.0163289,-0.0138425,-0.000161691,0.00314524
1413393214355760384,-1.54703,0.0985913,1.16194,0.602689,-0.011359,-0.797888,-0.00344636,-0.00122627,0.000445462,-0.00518754,-0.000443388,0.00474385,0.0166208,-0.0143903,-0.000302613,0.00315542
1413393214405760512,-1.54559,0.0995558,1.15702,0.602657,-0.0117457,-0.797905,-0.00392702,-0.000150447,-0.00128262,-0.00564397,-0.000456435,0.0048313,0.0168805,-0.0149526,-0.000302018,0.00331864
1413393214455760384,-1.54522,0.099572,1.15963,0.60273,-0.0117449,-0.79785,-0.00368167,-0.000117786,5.76591e-05,-0.00429376,-0.000457529,0.00490837,0.0171422,-0.0153046,-0.000258221,0.00338928
1413393214505760512,-1.54365,0.0966732,1.16763,0.602687,-0.0122055,-0.797873,-0.00422751,0.000331022,-0.000452067,-0.00208354,-0.000462241,0.00499649,0.0174089,-0.0157853,-0.000275174,0.0035687
1413393214555760384,-1.54146,0.0917518,1.17456,0.602717,-0.0127795,-0.797841,-0.00445164,0.00139897,-0.00208358,-0.00334144,-0.000478739,0.00507496,0.0176633,-0.0160936,-0.000328579,0.00360792
1413393214605760512,-1.54206,0.0846249,1.18714,0.602702,-0.0133158,-0.797839,-0.00502584,-5.48204e-05,-0.000243893,-0.00357543,-0.000493535,0.00514639,0.0179064,-0.0164787,-0.000296422,0.00373361
1413393214655760384,-1.54165,0.0838615,1.18774,0.602748,-0.0132949,-0.797806,-0.00494078,0.00194317,-0.00263557,-0.00238253,-0.000504225,0.00521582,0.0181696,-0.0164989,-0.000401379,0.00390278
1413393214705760512,-1.54197,0.0843841,1.1895,0.602798,-0.0134004,-0.797766,-0.00497445,-0.000456423,-0.001038,-0.00477829,-0.000504284,0.00529374,0.0184244,-0.016603,-0.000362869,0.00393212
1413393214755760384,-1.54303,0.0846777,1.19168,0.602788,-0.0133547,-0.797774,-0.00503485,0.000354354,-0.00184734,-0.00329011,-0.000507201,0.00536635,0.0186709,-0.016915,-0.000410131,0.00418737
1413393214805760512,-1.54376,0.0849722,1.19425,0.602822,-0.0133424,-0.79775,-0.00491903,0.000253043,-0.000589857,-0.00286312,-0.000518096,0.00544111,0.0189121,-0.0170642,-0.000324578,0.00439999
1413393214855760384,-1.54425,0.0850301,1.19401,0.602833,-0.013458,-0.797738,-0.00508373,0.000191099,0.000387672,-0.00257474,-0.00052489,0.00550527,0.0191409,-0.0171819,-0.000324451,0.00461705
