#timestamp, p_RS_R_x [m], p_RS_R_y [m], p_RS_R_z [m], q_RS_w [], q_RS_x [], q_RS_y [], q_RS_z [], v_RS_R_x [m s^-1], v_RS_R_y [m s^-1], v_RS_R_z [m s^-1], b_w_RS_S_x [rad s^-1], b_w_RS_S_y [rad s^-1], b_w_RS_S_z [rad s^-1], b_a_RS_S_x [m s^-2], b_a_RS_S_y [m s^-2], b_a_RS_S_z [m s^-2]
1413393212255760384,-1.07611,0.492467,1.32992,0.602566,-0.00175102,-0.79806,0.00339205,-0.00116153,0.00698203,0.00177143,-0.000171369,0.00209704,0.00723286,-0.000670527,2.02652e-05,0.000180267
1413393212305760512,-1.31681,0.576324,1.49569,0.602695,-0.00322221,-0.797962,0.0022692,-0.000833505,0.00275628,0.000891196,-0.00018426,0.00219278,0.00757255,-0.00100949,2.72274e-05,0.000272768
1413393212355760384,-1.3971,0.715712,1.14813,0.602726,-0.017574,-0.79771,-0.00841631,-0.00446136,-0.00113585,0.00122247,-0.000208731,0.00228907,0.00791078,-0.00138496,1.8757e-05,0.00034571
1413393212405760512,-1.361,0.658111,1.26374,0.602952,-0.0122439,-0.797673,-0.00422949,-0.00381708,0.00101145,-0.000717187,-0.000210691,0.00240236,0.00823149,-0.00238729,6.68848e-05,0.000562073
1413393212455760384,-1.38138,0.676724,0.368636,0.602978,-0.0137912,-0.797623,-0.00503925,-0.00388312,-0.0057994,-2.65075e-05,-0.000219106,0.00249151,0.00858348,-0.00278177,0.000121903,0.000591864
1413393212505760512,-1.3486,0.648686,1.13482,0.602768,-0.0232113,-0.79748,-0.0125628,-0.00240559,-0.00320685,0.00234643,-0.00021843,0.00257046,0.00892307,-0.00271588,5.37623e-05,0.000524952
1413393212555760384,-1.35129,0.651308,1.10537,0.602939,-0.0240218,-0.79732,-0.0130033,-0.00175021,-0.00480386,-0.0015946,-0.000226266,0.00270571,0.0093199,-0.0048078,0.000139949,0.00129964
1413393212605760512,-1.36608,0.668273,0.961473,0.603037,-0.0126835,-0.797601,-0.00424985,-0.001566,0.00199543,-0.000692756,-0.000259442,0.00280658,0.00961352,-0.00582483,3.77242e-05,0.00137958
1413393212655760384,-1.36405,0.659761,0.924577,0.602708,-0.0211078,-0.797608,-0.0109315,-0.00142557,-5.90348e-05,-0.000314893,-0.000254663,0.00289379,0.00992552,-0.00551919,0.00024213,0.00116545
1413393212705760512,-1.37269,0.66993,0.923377,0.602894,-0.0156064,-0.797644,-0.00628339,0.00152318,-0.00280406,0.000199322,-0.000271525,0.00298874,0.0102684,-0.00619996,0.000184313,0.00130276
1413393212755760384,-1.37828,0.68104,0.816341,0.602909,-0.0152004,-0.797638,-0.00659793,0.00125393,0.00155687,0.00123435,-0.00029009,0.00308763,0.01056,-0.00658615,-5.67718e-05,0.000615771
1413393212805760512,-1.3486,0.641367,0.985006,0.602532,-0.0335352,-0.797126,-0.0205375,0.000558547,-0.00139472,0.000940523,-0.000266137,0.00316507,0.0109012,-0.00636467,-0.000939917,0.000912472
1413393212855760384,-1.35545,0.64813,1.02283,0.602759,-0.0285482,-0.79723,-0.0170809,0.00076304,0.00222492,0.000839515,-0.000272686,0.00324437,0.011196,-0.00687235,-0.00188819,-0.00032743
1413393212905760512,-1.35583,0.648532,0.973982,0.602722,-0.0281236,-0.797278,-0.0168404,-0.00123774,0.00206245,-0.000248537,-0.000275255,0.00333183,0.0115017,-0.0069321,-0.00186318,-0.000670724
1413393212955760384,-1.35675,0.649493,1.04524,0.602677,-0.028027,-0.797319,-0.0166859,-0.00242306,-0.00125585,-0.00173985,-0.000275869,0.00341044,0.0118202,-0.00752498,-0.0018249,-0.00112161
1413393213005760512,-1.35712,0.650691,1.01565,0.60275,-0.0280695,-0.797261,-0.0167565,-0.00103336,0.00170495,-0.000906951,-0.000277324,0.00349992,0.012119,-0.00813794,-0.00190116,-0.000974926
1413393213055760384,-1.35841,0.652819,0.966056,0.602833,-0.0289844,-0.797152,-0.0173564,-0.00163586,0.000161202,-0.00149343,-0.00024816,0.00356582,0.0124024,-0.00803316,-0.00190537,-0.000727854
1413393213105760512,-1.37719,0.67543,0.969509,0.602894,-0.019577,-0.797523,-0.00969129,-0.00219574,-0.00105443,-0.00473791,-0.000315918,0.0036308,0.0127036,-0.00806349,0.000578749,0.000938382
1413393213155760384,-1.37749,0.675813,0.974183,0.602857,-0.0194744,-0.797552,-0.00974164,-0.00108317,0.000282929,-0.00123242,-0.000328654,0.00373524,0.0130306,-0.00925982,0.000736428,0.00109904
1413393213205760512,-1.37707,0.675707,0.969002,0.602896,-0.0195707,-0.79752,-0.00981078,0.000665114,0.00105175,-0.000125478,-0.000319604,0.00379511,0.0132982,-0.00951084,0.00090874,0.00121274
1413393213255760384,-1.37713,0.675802,0.958245,0.60289,-0.0196267,-0.797521,-0.00993734,0.0020783,-8.39519e-05,0.00270907,-0.000324427,0.0038917,0.0136154,-0.010764,0.000842482,0.00122083
1413393213305760512,-1.37682,0.675668,0.962213,0.60289,-0.0197628,-0.797516,-0.0100647,0.00124889,-0.00191351,0.00306209,-0.000339631,0.00397999,0.0139019,-0.0118832,0.000724433,0.00116146
1413393213355760384,-1.37662,0.675732,0.944953,0.602889,-0.0205277,-0.797497,-0.0101232,0.00261184,0.0019509,0.00113673,-0.000353961,0.00405465,0.0141782,-0.0121966,0.000393041,0.000972026
1413393213405760512,-1.38519,0.687035,1.01219,0.602894,-0.0152468,-0.797651,-0.00630994,0.00279205,0.00223582,0.00391628,-0.000373972,0.00414804,0.0144718,-0.0131637,0.00216466,0.00233772
1413393213455760384,-1.39547,0.700115,1.03388,0.602765,-0.00914101,-0.797866,-0.00121732,0.00132297,-0.000470682,0.00195699,-0.000385709,0.00422819,0.0147256,-0.0133241,0.0048274,0.00436674
1413393213505760512,-1.40109,0.707768,1.05284,0.602572,-0.0059142,-0.798042,0.00118748,-0.000900541,-0.000125446,0.00202095,-0.000397179,0.00432216,0.0150075,-0.0135046,0.00640117,0.00691971
1413393213555760384,-1.39071,0.694465,0.947382,0.602546,-0.00960643,-0.798025,-0.00166049,-0.000502352,0.00161145,0.00258112,-0.000401216,0.00439596,0.0152829,-0.0138172,0.00636165,0.00658048
1413393213605760512,-1.38939,0.692989,0.956724,0.60255,-0.0101511,-0.798014,-0.00201219,0.000429486,0.00254571,0.00159191,-0.000402696,0.00448137,0.0155723,-0.014198,0.00669429,0.006137
1413393213655760384,-1.3886,0.692286,0.942167,0.60252,-0.0100736,-0.798038,-0.00212439,0.000244695,0.000222555,-0.000172679,-0.000410497,0.00456313,0.0158549,-0.0149661,0.00661088,0.00570661
1413393213705760512,-1.38784,0.691533,0.940609,0.602528,-0.0102322,-0.79803,-0.00206555,0.000248695,-0.00225659,-0.000705395,-0.000413579,0.00464165,0.0161247,-0.015309,0.00668572,0.00558283
1413393213755760384,-1.38789,0.691622,0.940854,0.602513,-0.0103116,-0.79804,-0.00214272,0.000719388,-0.00106621,-0.00238351,-0.000414565,0.00472699,0.0164027,-0.0161782,0.00679007,0.00558992
1413393213805760512,-1.38764,0.691477,0.933763,0.602575,-0.0103242,-0.797993,-0.00215385,-0.000256885,-0.000823969,-0.00510636,-0.00041204,0.0047988,0.0166622,-0.0158947,0.00698612,0.00586122
1413393213855760384,-1.38761,0.691209,0.936234,0.602597,-0.0104394,-0.797975,-0.00219119,-0.00114213,-0.00195115,-0.00309657,-0.000425822,0.00486839,0.0169361,-0.0158763,0.0069142,0.00558561
1413393213905760512,-1.38663,0.690228,0.918506,0.602596,-0.010646,-0.797972,-0.0023837,-0.000124437,-0.00398085,-0.00338329,-0.000439193,0.00495582,0.0172055,-0.0170967,0.0069713,0.0068957
1413393213955760384,-1.38615,0.689529,0.917572,0.602547,-0.0107002,-0.798008,-0.00242962,0.00103253,-0.00417425,-0.000665011,-0.000440226,0.00502582,0.0174615,-0.0170203,0.00720737,0.00665794
1413393214005760512,-1.38604,0.689244,0.919726,0.602476,-0.0108354,-0.79806,-0.00241247,0.00130719,0.0098345,0.00271678,-0.000447759,0.00510557,0.0177158,-0.0172599,0.00703343,0.00675615
1413393214055760384,-1.38577,0.689191,0.919432,0.602629,-0.0109813,-0.797942,-0.00264099,0.00295122,0.00664073,0.000476066,-0.000466989,0.00517729,0.0179704,-0.0172733,0.00676234,0.00658225
1413393214105760512,-1.38625,0.689892,0.919238,0.602358,-0.0106589,-0.798151,-0.00238105,0.000615912,0.00222907,0.00163044,-0.000482974,0.0052501,0.0182372,-0.0171794,0.00682778,0.00632662
1413393214155760384,-1.38688,0.69069,0.921885,0.602594,-0.0105655,-0.797975,-0.00224809,0.0027069,-0.000298897,0.000530305,-0.000498997,0.00532641,0.0185123,-0.0182559,0.00647036,0.0073412
1413393214205760512,-1.38688,0.690699,0.918556,0.602492,-0.0105833,-0.798052,-0.00213616,0.00028667,0.00190065,0.000285065,-0.000498949,0.00539096,0.0187285,-0.0181214,0.00680098,0.00685383
1413393214255760384,-1.38791,0.692113,0.917768,0.602605,-0.0101355,-0.797973,-0.0021103,-9.93569e-05,0.000584529,0.000331123,-0.000504207,0.00546822,0.0189803,-0.0186005,0.0066994,0.00766449
1413393214305760512,-1.38818,0.692311,0.911877,0.602583,-0.0101079,-0.79799,-0.00186709,0.000314641,-0.00330615,-0.00106008,-0.000513233,0.00553669,0.0192026,-0.0184986,0.00713311,0.0076959
1413393214355760384,-1.38839,0.692434,0.916337,0.602623,-0.0100464,-0.797961,-0.00188755,-6.71073e-05,0.00132762,0.000773604,-0.000518824,0.00559713,0.0194402,-0.0178987,0.00736333,0.00778688
1413393214405760512,-1.38853,0.692667,0.914335,0.602582,-0.0100086,-0.797992,-0.00193553,0.00014982,-0.000631125,8.69991e-05,-0.00053643,0.00567605,0.0196985,-0.0181685,0.00704912,0.00764693
1413393214455760384,-1.38925,0.693497,0.914676,0.602634,-0.00979852,-0.797956,-0.00159368,-0.00065579,0.00066222,0.00112295,-0.00055445,0.00574003,0.019935,-0.01809,0.00659102,0.00837156
1413393214505760512,-1.38938,0.693759,0.916497,0.602551,-0.00953538,-0.798022,-0.00158301,-0.00118144,8.5157e-05,0.0027788,-0.00053963,0.0058056,0.0201821,-0.0181203,0.00782884,0.00696933
1413393214555760384,-1.38947,0.693974,0.921351,0.602523,-0.00938604,-0.798045,-0.00136272,-0.000809068,-0.0012429,0.00115641,-0.000541329,0.00587694,0.0204243,-0.0186222,0.00867205,0.00605506
1413393214605760512,-1.38994,0.694322,0.946578,0.602458,-0.00897875,-0.7981,-0.00123933,-0.00241831,0.000791775,0.000457207,-0.000533691,0.005946,0.0206628,-0.0183348,0.00914245,0.00595235
1413393214655760384,-1.38986,0.694361,0.948489,0.602459,-0.00880117,-0.798101,-0.0010325,6.10325e-05,-0.00179876,0.0014189,-0.000533066,0.00599164,0.0208784,-0.0171536,0.00966468,0.0064077
1413393214705760512,-1.38929,0.693896,0.95056,0.602534,-0.00894707,-0.798042,-0.00111525,-0.0013025,-0.000202841,-0.00136264,-0.000542177,0.00606713,0.0211021,-0.0166454,0.00922198,0.00766064
1413393214755760384,-1.38657,0.691011,0.951078,0.602533,-0.0100595,-0.798028,-0.0020755,0.000302111,-0.00116719,-0.000455279,-0.00053354,0.00610634,0.0213077,-0.0163918,0.0107709,0.00476096
1413393214805760512,-1.3861,0.690849,0.950463,0.602565,-0.010229,-0.798002,-0.00209976,0.00108346,5.70742e-05,-0.000508407,-0.000547352,0.00617211,0.0215542,-0.0185537,0.0101513,0.00592219
1413393214855760384,-1.38591,0.69055,0.940225,0.602546,-0.0100668,-0.798018,-0.00205181,0.00111326,0.00104396,-0.000969982,-0.000541948,0.00625964,0.0218318,-0.0211665,0.0100719,0.00687673
1413393214905760512,-1.39013,0.694925,0.937464,0.602486,-0.00803618,-0.798089,-0.000523312,0.00146066,-8.6139e-05,-0.000914493,-0.000536399,0.00632051,0.0220621,-0.0220481,0.0099009,0.00742198
1413393214955760384,-1.38995,0.69473,0.938244,0.602472,-0.0079897,-0.798101,-0.000402813,0.00106109,0.000954186,0.000290576,-0.000545728,0.00640457,0.0222817,-0.022717,0.0090926,0.00686454
1413393215005760512,-1.3889,0.693517,0.941481,0.602466,-0.0082259,-0.798102,-0.000627514,0.000863249,0.00169037,0.00108076,-0.000551434,0.00647835,0.0224819,-0.0239715,0.00981569,0.00557127
1413393215055760384,-1.38753,0.691581,0.940331,0.602332,-0.00889881,-0.798195,-0.00130434,-0.000693145,-0.00195623,0.00242232,-0.000549246,0.00655162,0.022712,-0.0243087,0.00884534,0.00612078
1413393215105760512,-1.38543,0.688585,0.902701,0.602173,-0.00926273,-0.798311,-0.00129749,-0.00127926,-0.00738058,-0.00327077,-0.000547585,0.00663158,0.0229812,-0.0249349,0.00862205,0.00877323
1413393215155760384,-1.40203,0.709865,0.899395,0.602174,-0.000357918,-0.798346,0.00552286,-0.00037596,-0.00171979,-0.00161893,-0.000572485,0.00669206,0.0231346,-0.0235147,0.010741,0.0108154
1413393215205760512,-1.40431,0.712649,0.941245,0.602063,0.000526148,-0.798426,0.00607616,-0.00137508,-0.00250449,-0.00363502,-0.0005934,0.00676754,0.0233796,-0.0254203,0.00955911,0.0136684
1413393215255760384,-1.4015,0.709626,0.900794,0.602067,0.00014485,-0.798423,0.00602954,-0.00163544,-0.00217013,-0.00460011,-0.000598184,0.00681069,0.0235532,-0.0241269,0.0109793,0.0141537
