#timestamp, p_RS_R_x [m], p_RS_R_y [m], p_RS_R_z [m], q_RS_w [], q_RS_x [], q_RS_y [], q_RS_z [], v_RS_R_x [m s^-1], v_RS_R_y [m s^-1], v_RS_R_z [m s^-1], b_w_RS_S_x [rad s^-1], b_w_RS_S_y [rad s^-1], b_w_RS_S_z [rad s^-1], b_a_RS_S_x [m s^-2], b_a_RS_S_y [m s^-2], b_a_RS_S_z [m s^-2]
1413393886005760512,-0.995221,0.456978,1.34296,0.588983,0.0411161,-0.806295,0.0360045,0.0029895,0.00111444,0.00606096,-0.000847342,0.0215944,0.0683623,-0.000384555,0.000378296,0.000187165
1413393886055760384,-1.0015,0.478922,1.32759,0.588622,0.0233628,-0.807751,0.0227286,0.00814956,-0.00506118,-0.0388769,-0.000135315,0.000222363,0.00323213,-3.04565e-05,9.11738e-06,-1.81324e-05
1413393886105760512,-1.00296,0.470152,1.33193,0.589254,0.0345121,-0.806622,0.0308239,0.00111143,-0.00399699,-0.0245419,-0.000150832,0.000856625,0.00436762,-5.1936e-05,0.000104802,-8.23109e-05
1413393886155760384,-1.00393,0.469855,1.33474,0.589111,0.0365249,-0.806631,0.0309739,0.00129575,-0.000244882,-0.010713,-0.000125009,0.00125825,0.00546138,-7.82087e-05,0.000191122,-0.000168341
1413393886205760512,-1.00062,0.478003,1.32159,0.589638,0.0228084,-0.807018,0.0230069,0.00486245,-0.00237068,-0.0398681,-0.000135341,0.000222394,0.00323268,-6.43833e-05,2.11276e-05,-6.35801e-05
1413393886255760384,-1.00424,0.469921,1.33603,0.589206,0.0373399,-0.806516,0.0311961,0.000794578,0.000453878,-0.010164,-0.000104889,0.00160787,0.00650802,1.68188e-05,0.000288346,-0.000401151
1413393886305760512,-1.00263,0.469418,1.32753,0.589916,0.0342535,-0.806149,0.0308076,0.00138287,0.0024153,-0.0235816,-0.00015087,0.000856797,0.00436852,-4.94851e-05,0.00022158,-0.00024327
1413393886355760384,-0.99992,0.477894,1.31526,0.590663,0.0223777,-0.806272,0.0232751,0.00850276,0.00247361,-0.0425053,-0.000135362,0.000222407,0.00323299,-6.48684e-05,1.51186e-05,-0.000122442
1413393886405760512,-1.00437,0.46945,1.33599,0.589332,0.0373755,-0.806396,0.0318724,0.000864803,-0.00290758,-0.0078157,-0.000135891,0.00190159,0.00749277,-0.000261146,0.000208332,-0.000811786
1413393886455760384,-1.00352,0.469201,1.33039,0.589841,0.036295,-0.806102,0.0311499,0.000849297,-0.00135222,-0.0165889,-0.000125043,0.00125859,0.00546287,1.63329e-05,0.000337883,-0.000540383
1413393886505760512,-1.00174,0.469598,1.32246,0.590683,0.0338419,-0.805588,0.031233,0.00672808,0.0049829,-0.0246498,-0.000150899,0.000856892,0.00436897,4.28898e-06,0.000251917,-0.000349303
1413393886555760384,-1.00446,0.469163,1.33634,0.58928,0.0375416,-0.806413,0.0322023,0.000852681,-0.00086517,-0.00603251,-0.000174303,0.00218773,0.00844893,-0.000607588,-4.63823e-06,-0.00153077
1413393886605760512,-1.00402,0.468978,1.332,0.589749,0.0368557,-0.806133,0.0314176,-0.00123391,-0.00518526,-0.0164136,-0.000104907,0.00160831,0.00650984,0.000413773,0.000315519,-0.00110416
1413393886655760384,-1.00309,0.46875,1.32671,0.590291,0.0357456,-0.805783,0.0314941,0.00474399,-0.0015927,-0.0217503,-0.000125058,0.0012587,0.00546333,0.000116386,0.000376768,-0.000623822
1413393886705760512,-1.00482,0.468875,1.33634,0.589241,0.0377281,-0.806427,0.0323478,1.30224e-05,-0.00306933,-0.0058438,-0.000205105,0.0024452,0.00933437,-0.00131732,-0.0001402,-0.0022301
1413393886755760384,-1.00433,0.468667,1.33256,0.589731,0.0370334,-0.806112,0.0320859,-0.000710266,0.000982671,-0.0131763,-0.000135921,0.00190202,0.00749456,0.000120741,-0.00013919,-0.00199393
1413393886805760512,-1.00365,0.46823,1.32871,0.590146,0.0365097,-0.805848,0.031672,0.0046022,-0.00160434,-0.0166953,-0.000104913,0.00160842,0.00651031,0.00057701,0.000311793,-0.00126118
1413393886855760384,-1.00526,0.468944,1.33692,0.589215,0.0379481,-0.806428,0.0325293,0.00074745,-0.00115794,-0.00436604,-0.000203148,0.00271231,0.0102643,-0.0028122,-0.000172839,-0.00257718
1413393886905760512,-1.00444,0.468905,1.33319,0.589622,0.0372394,-0.806167,0.0324519,0.00353346,0.00109298,-0.0112492,-0.000174346,0.00218815,0.00845069,-0.000192222,-0.00046996,-0.00309644
1413393886955760384,-1.00363,0.46879,1.32978,0.59006,0.036724,-0.805873,0.0323818,0.00666932,0.000749274,-0.0175547,-0.000135931,0.00190212,0.00749501,0.000249849,-0.000258996,-0.00229634
1413393887005760512,-1.00529,0.46893,1.33703,0.589199,0.0382347,-0.806416,0.0327981,0.00148539,-0.00144773,-0.00570473,-0.000231056,0.00298633,0.0110967,-0.00444844,-0.00017817,-0.00273999
1413393887055760384,-1.00445,0.468918,1.33337,0.589649,0.037405,-0.80613,0.0326795,0.00343287,0.00218291,-0.0132212,-0.000205158,0.00244559,0.00933608,-0.000913747,-0.000442971,-0.00352806
1413393887105760512,-1.00351,0.46938,1.33022,0.590003,0.036898,-0.805892,0.0327569,0.00693803,0.0054962,-0.0182341,-0.000174364,0.00218825,0.00845114,-5.63871e-05,-0.000559052,-0.00335388
