#timestamp, p_RS_R_x [m], p_RS_R_y [m], p_RS_R_z [m], q_RS_w [], q_RS_x [], q_RS_y [], q_RS_z [], v_RS_R_x [m s^-1], v_RS_R_y [m s^-1], v_RS_R_z [m s^-1], b_w_RS_S_x [rad s^-1], b_w_RS_S_y [rad s^-1], b_w_RS_S_z [rad s^-1], b_a_RS_S_x [m s^-2], b_a_RS_S_y [m s^-2], b_a_RS_S_z [m s^-2]
1413393886005760512,-1.00198,0.479302,1.32954,0.589607,0.0239335,-0.807039,0.0218704,0.00343778,0.00673478,0.00291681,-0.000160376,0.0029324,0.0100684,-0.000403254,8.77964e-06,0.000121357
1413393886055760384,-1.00192,0.479488,1.32931,0.589576,0.023593,-0.807071,0.0218896,0.000583315,0.0035173,2.7053e-05,-0.000192211,0.00303511,0.010389,-0.00118545,2.36071e-05,0.0003666
1413393886105760512,-1.00236,0.479584,1.32938,0.58953,0.0228422,-0.807141,0.0213469,-0.00125932,0.00368893,-0.00384309,-0.000190984,0.00311068,0.0106743,-0.00196718,6.20241e-05,0.000629276
1413393886155760384,-0.997232,0.4823,1.32931,0.589592,0.0174088,-0.80733,0.0172238,-0.000291582,0.0043979,0.00150104,-0.000207522,0.00321402,0.0109763,-0.00291907,0.00012918,0.00095462
1413393886205760512,-1.01482,0.466097,1.32989,0.589759,0.0144697,-0.807307,0.0151394,0.00126485,0.00382679,0.000939573,-0.000187823,0.0033261,0.01129,-0.0040388,0.00033724,0.00113217
1413393886255760384,-0.990982,0.466772,1.33017,0.589725,0.0131137,-0.807376,0.0139591,0.00261189,0.00398936,-0.000925961,-0.000181275,0.00342944,0.0115963,-0.00483768,0.000324033,0.00125106
1413393886305760512,-1.02321,0.456352,1.32941,0.589589,0.0123312,-0.807497,0.0134457,0.00202454,0.00433689,-0.000182338,-0.000169448,0.00352,0.0118785,-0.00532542,0.000557566,0.000673911
1413393886355760384,-1.01653,0.464869,1.329,0.589698,0.0135461,-0.807381,0.0144572,0.00497762,0.00014692,-9.5639e-05,-0.000166413,0.0035931,0.0121603,-0.00574422,0.00045062,0.000660206
1413393886405760512,-1.0109,0.462579,1.32902,0.589839,0.0119557,-0.807321,0.0134281,0.000816849,-0.00210469,-0.00119192,-0.000170939,0.00367147,0.0124413,-0.00649294,0.00034069,0.00077909
1413393886455760384,-1.00897,0.462283,1.3287,0.589758,0.0104811,-0.807416,0.0124498,-0.00156035,0.000623409,-0.00080036,-0.000196091,0.00374452,0.0127557,-0.00663105,1.44408e-05,0.000798067
