#timestamp, p_RS_R_x [m], p_RS_R_y [m], p_RS_R_z [m], q_RS_w [], q_RS_x [], q_RS_y [], q_RS_z []
0,1,1.27568e-07,0.0999997,0.521334,-0.477714,-0.477715,0.521334
1,0.987598,0.158561,0.100705,0.478741,-0.438626,-0.514326,0.560252
2,0.944095,0.321156,0.0963148,0.42962,-0.39156,-0.547974,0.601525
3,0.886364,0.460156,0.0934546,0.387386,-0.348141,-0.574262,0.631627
4,0.80344,0.595936,0.0954429,0.337215,-0.300526,-0.601341,0.65906
5,0.69852,0.715353,0.0960871,0.284706,-0.251046,-0.623658,0.683351
6,0.573489,0.817665,0.0949758,0.226731,-0.201156,-0.640068,0.706005
7,0.438904,0.897587,0.0976527,0.17218,-0.148968,-0.655659,0.719913
8,0.294978,0.954201,0.101246,0.116553,-0.0980042,-0.666971,0.729356
9,0.142583,0.989667,0.103138,0.0592967,-0.0452535,-0.673315,0.735583
10,-0.0145168,1.00151,0.106133,0.000375572,0.00728265,-0.676,0.736865
11,-0.171332,0.987556,0.10755,-0.0577107,0.0604295,-0.673802,0.734172
12,-0.324158,0.949594,0.109755,-0.115374,0.113129,-0.667887,0.726511
13,-0.470553,0.887476,0.112708,-0.173871,0.16491,-0.658508,0.713401
14,-0.604532,0.803295,0.114112,-0.230265,0.215788,-0.644349,0.696584
15,-0.722658,0.696524,0.109101,-0.285829,0.266405,-0.621168,0.679324
16,-0.818547,0.579741,0.107756,-0.335681,0.310565,-0.598862,0.657444
17,-0.890738,0.448104,0.105474,-0.384349,0.354519,-0.57214,0.631861
18,-0.952538,0.294816,0.124111,-0.43664,0.398611,-0.545326,0.594201
19,-0.98221,0.133932,0.104184,-0.486081,0.44049,-0.506375,0.559713
20,-1.00806,-0.0202738,0.107295,0.526535,-0.482783,0.470551,-0.517942
21,-0.994956,-0.17903,0.116775,0.565561,-0.519256,0.437492,-0.468097
22,-0.952945,-0.33442,0.118098,0.599446,-0.554556,0.394059,-0.421723
23,-0.887695,-0.479848,0.117173,0.631803,-0.582995,0.350058,-0.372022
24,-0.798877,-0.612466,0.113376,0.660977,-0.607282,0.301509,-0.321576
25,-0.694202,-0.728094,0.112232,0.684149,-0.628102,0.254468,-0.269581
26,-0.567293,-0.830619,0.112924,0.703465,-0.647773,0.202102,-0.211379
27,-0.428527,-0.909193,0.110096,0.719312,-0.660469,0.150184,-0.154323
28,-0.28175,-0.962645,0.107271,0.730388,-0.668671,0.0996433,-0.0973843
29,-0.126125,-0.993978,0.105094,0.736546,-0.673668,0.0464736,-0.0388736
30,0.0317385,-1.00068,0.102679,0.738087,-0.674402,-0.00741331,0.0188329
31,0.188483,-0.981567,0.100929,0.734769,-0.67121,-0.0601565,0.0772936
32,0.340531,-0.94038,0.0989011,0.727168,-0.663631,-0.113082,0.134289
33,0.483987,-0.874889,0.0991246,0.713905,-0.653295,-0.165041,0.190544
34,0.615387,-0.787245,0.0944432,0.69946,-0.635327,-0.216646,0.245316
35,0.733194,-0.677205,0.0942905,0.677257,-0.615565,-0.268258,0.300735
36,0.831052,-0.553115,0.09031,0.653032,-0.590911,-0.31406,0.354598
37,0.908141,-0.415229,0.0929344,0.622138,-0.565733,-0.36105,0.403155
38,0.963664,-0.265102,0.0917235,0.588758,-0.534337,-0.405283,0.451215
39,0.994104,-0.108517,0.0926232,0.551664,-0.50008,-0.447843,0.495
