#timestamp, p_RS_R_x [m], p_RS_R_y [m], p_RS_R_z [m], q_RS_w [], q_RS_x [], q_RS_y [], q_RS_z []
0,1,7.63426e-07,0.0999966,0.521333,-0.477716,-0.477715,0.521333
1,0.987726,0.157846,0.101336,0.47825,-0.439013,-0.514509,0.560202
2,0.946066,0.317804,0.0999534,0.429045,-0.394236,-0.548735,0.59949
3,0.888084,0.458731,0.099443,0.384156,-0.351438,-0.576616,0.629626
4,0.804825,0.593947,0.0999725,0.3331,-0.30463,-0.602917,0.657827
5,0.700743,0.71368,0.0998592,0.280089,-0.255763,-0.625143,0.682152
6,0.577736,0.816026,0.0985226,0.223928,-0.205388,-0.642528,0.703442
7,0.442524,0.896792,0.0994816,0.168459,-0.153665,-0.657483,0.71814
8,0.296577,0.954949,0.100052,0.111636,-0.101825,-0.667796,0.728847
9,0.142753,0.990165,0.100122,0.0538724,-0.0487736,-0.67378,0.73535
10,-0.0150945,1.00089,0.100542,-0.00473951,0.00437128,-0.675716,0.737134
11,-0.17249,0.986164,0.100391,-0.0629353,0.0577918,-0.673176,0.73453
12,-0.325569,0.947097,0.100398,-0.120668,0.110798,-0.666499,0.727284
13,-0.47099,0.884211,0.100806,-0.178162,0.163011,-0.655943,0.715139
14,-0.604371,0.79939,0.100882,-0.234105,0.214282,-0.641101,0.698761
15,-0.722635,0.693445,0.0988468,-0.288903,0.26486,-0.620391,0.679338
16,-0.821589,0.5738,0.0988905,-0.33962,0.312158,-0.59778,0.655649
17,-0.899288,0.440561,0.0982418,-0.388066,0.357624,-0.570791,0.629053
18,-0.960735,0.29017,0.1071,-0.43836,0.403225,-0.545985,0.589195
19,-0.991679,0.130751,0.0952822,-0.487865,0.443063,-0.505994,0.556464
20,-1.00415,-0.025547,0.0996223,0.528146,-0.483616,0.471197,-0.514928
21,-0.987738,-0.183326,0.100639,0.56769,-0.518879,0.432595,-0.470483
22,-0.94605,-0.33688,0.100688,0.602484,-0.552405,0.389296,-0.42463
23,-0.881147,-0.4817,0.100657,0.634383,-0.581289,0.34463,-0.375355
24,-0.7933,-0.61432,0.0996834,0.662616,-0.606414,0.296872,-0.324144
25,-0.687333,-0.730687,0.0998409,0.685832,-0.627862,0.248656,-0.271285
26,-0.562634,-0.830401,0.100494,0.704975,-0.64617,0.197684,-0.215396
27,-0.424586,-0.90848,0.100072,0.720032,-0.659556,0.145903,-0.158908
28,-0.276303,-0.963338,0.0998359,0.730458,-0.668851,0.0936151,-0.101512
29,-0.120827,-0.994515,0.0999369,0.736132,-0.674243,0.0403465,-0.0433426
30,0.0374509,-1.00086,0.09984,0.737278,-0.675296,-0.0132584,0.0148741
31,0.194591,-0.981712,0.0998023,0.73379,-0.672145,-0.0664289,0.073214
32,0.346958,-0.938878,0.0996716,0.72579,-0.664716,-0.119451,0.130818
33,0.490404,-0.872167,0.100097,0.712991,-0.653458,-0.171638,0.187557
34,0.621498,-0.783665,0.0991837,0.696512,-0.637302,-0.222648,0.243198
35,0.737786,-0.674701,0.0997735,0.67456,-0.617811,-0.272998,0.29791
36,0.834846,-0.549926,0.0986727,0.649412,-0.593902,-0.320233,0.350707
37,0.911115,-0.411285,0.0999158,0.619115,-0.567437,-0.366529,0.400461
38,0.964914,-0.261923,0.0996501,0.58557,-0.536464,-0.410302,0.448294
39,0.994358,-0.106017,0.0998429,0.548302,-0.502288,-0.451658,0.493029
