#timestamp, p_RS_R_x [m], p_RS_R_y [m], p_RS_R_z [m], q_RS_w [], q_RS_x [], q_RS_y [], q_RS_z []
0,1,1.03158e-09,0.1,0.521334,-0.477714,-0.477714,0.521334
1,0.987693,0.15807,0.101514,0.478131,-0.438996,-0.514644,0.560192
2,0.945301,0.318753,0.0999871,0.428473,-0.393908,-0.549015,0.599858
3,0.887856,0.458831,0.0992464,0.38427,-0.351289,-0.576565,0.629687
4,0.804643,0.59425,0.100071,0.333072,-0.304552,-0.602987,0.657813
5,0.700396,0.713898,0.0997993,0.280154,-0.255541,-0.625177,0.682177
6,0.576956,0.81632,0.0982572,0.223685,-0.20511,-0.642438,0.703682
7,0.441853,0.897143,0.0994473,0.168336,-0.15321,-0.657551,0.718203
8,0.296294,0.954838,0.100076,0.111682,-0.101753,-0.667787,0.728858
9,0.142668,0.990057,0.100162,0.0540312,-0.0487125,-0.673772,0.73535
10,-0.0151895,1.00092,0.100748,-0.00472406,0.00432022,-0.67578,0.737076
11,-0.172501,0.986077,0.10054,-0.0628815,0.0577479,-0.673219,0.734498
12,-0.325508,0.947136,0.100508,-0.120562,0.110735,-0.666528,0.727285
13,-0.471044,0.884246,0.101126,-0.178233,0.162887,-0.656124,0.714984
14,-0.604358,0.799521,0.101177,-0.234118,0.214128,-0.641304,0.698618
15,-0.722799,0.69316,0.0984167,-0.289033,0.265034,-0.619949,0.679618
16,-0.821681,0.573848,0.0988146,-0.339565,0.31222,-0.597607,0.655805
17,-0.899146,0.440896,0.0981819,-0.387929,0.357505,-0.570747,0.629246
18,-0.960911,0.290561,0.107168,-0.438238,0.403122,-0.546039,0.589306
19,-0.991964,0.131087,0.0954285,-0.487883,0.442882,-0.506148,0.556453
20,-1.00447,-0.0252922,0.0997185,0.528076,-0.48356,0.471283,-0.514974
21,-0.988383,-0.18304,0.100808,0.5678,-0.518594,0.432896,-0.470388
22,-0.946473,-0.336875,0.1009,0.602395,-0.552488,0.38932,-0.424626
23,-0.881784,-0.481861,0.100864,0.634394,-0.581278,0.34476,-0.375234
24,-0.793498,-0.614551,0.0996559,0.662757,-0.606376,0.296786,-0.324004
25,-0.687775,-0.730673,0.0998013,0.685877,-0.627742,0.248769,-0.271343
26,-0.562811,-0.83063,0.100659,0.704969,-0.646232,0.197674,-0.215241
27,-0.424772,-0.908718,0.100032,0.720111,-0.659504,0.145878,-0.15879
28,-0.276485,-0.963473,0.099684,0.730582,-0.668732,0.093667,-0.101365
29,-0.121036,-0.994677,0.0999354,0.736157,-0.674219,0.0404105,-0.0432276
30,0.0372652,-1.00108,0.09981,0.737305,-0.675265,-0.0132493,0.0149381
31,0.194284,-0.981695,0.0997363,0.733831,-0.672106,-0.0662947,0.0732827
32,0.346753,-0.939133,0.0995535,0.725855,-0.664655,-0.119372,0.13084
33,0.490099,-0.872366,0.100117,0.71301,-0.653475,-0.171569,0.187488
34,0.621037,-0.783902,0.0988208,0.696756,-0.637145,-0.222454,0.24309
35,0.73757,-0.67474,0.099732,0.674581,-0.61777,-0.273034,0.297914
36,0.834663,-0.550198,0.0983636,0.649603,-0.593772,-0.320096,0.3507
37,0.910895,-0.411504,0.0999017,0.619119,-0.567517,-0.366401,0.400458
38,0.964834,-0.262062,0.0995207,0.585619,-0.536447,-0.410211,0.448333
39,0.994373,-0.106111,0.0997754,0.548373,-0.502251,-0.451634,0.49301
