#timestamp, p_RS_R_x [m], p_RS_R_y [m], p_RS_R_z [m], q_RS_w [], q_RS_x [], q_RS_y [], q_RS_z []
0,1,-6.09624e-12,0.1,0.521334,-0.477714,-0.477714,0.521334
1,0.988091,0.15684,0.09997,0.479406,-0.438652,-0.513749,0.560192
2,0.950484,0.31304,0.102651,0.431552,-0.397112,-0.548422,0.596069
3,0.889359,0.458779,0.100488,0.384263,-0.351866,-0.576963,0.629004
4,0.805758,0.594005,0.100473,0.333227,-0.305026,-0.602996,0.657506
5,0.702191,0.713728,0.10038,0.28052,-0.256395,-0.625135,0.681745
6,0.578481,0.818092,0.101324,0.223548,-0.205123,-0.644314,0.702004
7,0.443115,0.897334,0.100067,0.1682,-0.154718,-0.657508,0.717951
8,0.296848,0.956438,0.100856,0.111295,-0.102457,-0.668131,0.728503
9,0.142611,0.991861,0.100537,0.053467,-0.0493816,-0.673977,0.735159
10,-0.0156625,1.00273,0.100645,-0.00494887,0.00405114,-0.675839,0.737022
11,-0.173443,0.98835,0.100623,-0.0630791,0.0574464,-0.673408,0.734332
12,-0.327484,0.94865,0.100531,-0.121336,0.110559,-0.666738,0.72699
13,-0.473006,0.885455,0.100419,-0.178564,0.162886,-0.655899,0.715108
14,-0.60687,0.800181,0.100524,-0.234639,0.214298,-0.641065,0.698611
15,-0.725625,0.695553,0.099094,-0.288873,0.264003,-0.621288,0.678864
16,-0.82685,0.569213,0.0990825,-0.344464,0.313204,-0.598317,0.652123
17,-0.907394,0.431499,0.101383,-0.393533,0.361602,-0.571822,0.622411
18,-0.96148,0.290789,0.104537,-0.43864,0.402301,-0.545366,0.59019
19,-0.992921,0.138803,0.0978016,-0.485019,0.439925,-0.510449,0.557373
20,-1.00581,-0.0251754,0.0997731,0.528668,-0.482853,0.472093,-0.514286
21,-0.988216,-0.183522,0.100049,0.567372,-0.519295,0.432128,-0.470837
22,-0.94777,-0.336996,0.0997657,0.602946,-0.551839,0.3895,-0.424522
23,-0.882395,-0.481959,0.0996791,0.634657,-0.581045,0.344408,-0.375474
24,-0.795171,-0.615119,0.100247,0.662144,-0.606975,0.297225,-0.323736
25,-0.68852,-0.731597,0.0995554,0.685841,-0.628052,0.248468,-0.270992
26,-0.564532,-0.830797,0.0995942,0.705095,-0.645823,0.197885,-0.21586
27,-0.426247,-0.909089,0.099409,0.720124,-0.659343,0.146229,-0.159075
28,-0.2779,-0.964068,0.0994027,0.730398,-0.668831,0.0936582,-0.102037
29,-0.12226,-0.995652,0.0991423,0.73629,-0.674036,0.0402361,-0.0439734
30,0.0365583,-1.00199,0.0995127,0.737267,-0.675313,-0.0134031,0.0145062
31,0.19403,-0.983199,0.0991705,0.733986,-0.671949,-0.0666163,0.0728814
32,0.346286,-0.939746,0.0993917,0.72586,-0.6647,-0.11955,0.130417
33,0.490102,-0.873219,0.0996409,0.71319,-0.6533,-0.171728,0.187266
34,0.621865,-0.784325,0.0996385,0.696124,-0.637579,-0.223084,0.243183
35,0.738087,-0.675993,0.099482,0.674743,-0.617814,-0.272788,0.297682
36,0.834882,-0.551268,0.100857,0.648803,-0.595107,-0.321119,0.348977
37,0.911806,-0.411569,0.099842,0.619347,-0.567136,-0.367026,0.400073
38,0.965172,-0.261788,0.0997592,0.585588,-0.536315,-0.410675,0.448107
39,0.994432,-0.105914,0.100132,0.548246,-0.502274,-0.45195,0.492838
