#timestamp, p_RS_R_x [m], p_RS_R_y [m], p_RS_R_z [m], q_RS_w [], q_RS_x [], q_RS_y [], q_RS_z []
0,1,1.08952e-09,0.1,0.521334,-0.477714,-0.477714,0.521334
1,0.987724,0.155723,0.100201,0.4789,-0.43913,-0.513563,0.560422
2,0.953465,0.306982,0.1026,0.433788,-0.398902,-0.547061,0.594499
3,0.889926,0.455581,0.100065,0.384202,-0.351757,-0.576806,0.629246
4,0.806673,0.589374,0.099951,0.332876,-0.305343,-0.602666,0.65784
5,0.703663,0.708503,0.100077,0.279674,-0.256872,-0.624983,0.682052
6,0.582811,0.811375,0.0986221,0.223923,-0.206412,-0.642364,0.703293
7,0.448408,0.891123,0.0994345,0.169477,-0.154292,-0.657571,0.717685
8,0.302363,0.950215,0.0997738,0.111799,-0.10223,-0.667774,0.728785
9,0.148722,0.985188,0.099765,0.0538367,-0.0490323,-0.673761,0.735353
10,-0.00858799,0.995691,0.0997458,-0.00453507,0.00451255,-0.675501,0.737332
11,-0.165276,0.981238,0.0994916,-0.0626938,0.0579306,-0.672868,0.734821
12,-0.318089,0.941939,0.0996603,-0.12096,0.110907,-0.666279,0.72742
13,-0.46262,0.879458,0.0999159,-0.178129,0.163232,-0.655567,0.715442
14,-0.595253,0.794807,0.0997248,-0.233943,0.214724,-0.64039,0.699332
15,-0.712903,0.691091,0.0996756,-0.288108,0.26433,-0.621487,0.678879
16,-0.813113,0.567632,0.100489,-0.342264,0.313136,-0.599149,0.65255
17,-0.889976,0.431303,0.098678,-0.392803,0.359368,-0.571046,0.624874
18,-0.951177,0.292757,0.0961906,-0.438205,0.40138,-0.541415,0.594761
19,-0.983287,0.137288,0.0965474,-0.485259,0.441172,-0.509032,0.557474
20,-0.992407,-0.0260086,0.100015,0.527512,-0.484706,0.470997,-0.514736
21,-0.97419,-0.182068,0.0997693,0.567289,-0.519145,0.432077,-0.471149
22,-0.933919,-0.334898,0.0997971,0.60273,-0.55218,0.389134,-0.424721
23,-0.869328,-0.47891,0.0998066,0.634505,-0.581289,0.344116,-0.375621
24,-0.783204,-0.610728,0.101853,0.661104,-0.607787,0.297814,-0.323795
25,-0.67668,-0.726933,0.10031,0.685438,-0.628566,0.248245,-0.271023
26,-0.553331,-0.825294,0.10024,0.704808,-0.646215,0.197612,-0.215876
27,-0.415795,-0.90336,0.0999698,0.719932,-0.659692,0.145779,-0.15891
28,-0.268447,-0.957662,0.0994283,0.730521,-0.668777,0.0934881,-0.10167
29,-0.114257,-0.98871,0.1001,0.735907,-0.674462,0.0403138,-0.0437792
30,0.0433604,-0.99502,0.0998128,0.737199,-0.675387,-0.0133035,0.01463
31,0.199192,-0.976322,0.100098,0.733628,-0.672393,-0.0665196,0.0724784
32,0.351308,-0.933417,0.100286,0.725466,-0.665066,-0.119862,0.130461
33,0.494002,-0.867215,0.0999743,0.713051,-0.653388,-0.171819,0.187406
34,0.624399,-0.778983,0.0995048,0.696296,-0.637467,-0.222886,0.243167
35,0.739736,-0.671402,0.0998813,0.674596,-0.618085,-0.272608,0.297618
36,0.836908,-0.546698,0.10082,0.648475,-0.594823,-0.321457,0.349758
37,0.91237,-0.408612,0.0999705,0.619214,-0.567241,-0.366941,0.400208
38,0.965563,-0.260043,0.100081,0.585425,-0.536514,-0.410667,0.44809
39,0.994427,-0.105191,0.100067,0.548157,-0.502372,-0.451774,0.492998
