#timestamp, p_RS_R_x [m], p_RS_R_y [m], p_RS_R_z [m], q_RS_w [], q_RS_x [], q_RS_y [], q_RS_z []
0,0.99996,-3.77508e-05,0.100004,0.521334,-0.477714,-0.477714,0.521334
1,0.988341,0.155095,0.100682,0.479047,-0.439345,-0.513722,0.559982
2,0.950562,0.308899,0.0991984,0.433138,-0.396452,-0.546468,0.597152
3,0.889348,0.454992,0.0998416,0.383438,-0.352023,-0.576612,0.629741
4,0.806401,0.588014,0.0999033,0.332498,-0.305519,-0.60262,0.657992
5,0.703999,0.706846,0.0999102,0.279766,-0.256723,-0.624958,0.682093
6,0.585207,0.807676,0.0974391,0.225962,-0.20683,-0.641668,0.703154
7,0.449233,0.889608,0.100168,0.168693,-0.154757,-0.657842,0.717521
8,0.303738,0.948006,0.0994911,0.111995,-0.102127,-0.667662,0.728872
9,0.150353,0.983338,0.0995089,0.0538776,-0.0489709,-0.673645,0.73546
10,-0.00664385,0.993705,0.0996699,-0.00465512,0.00433531,-0.675471,0.737359
11,-0.163226,0.979475,0.0994899,-0.0626793,0.0580006,-0.672862,0.734822
12,-0.315518,0.940199,0.0996391,-0.120668,0.111018,-0.666237,0.727491
13,-0.459999,0.877988,0.0993728,-0.177551,0.163701,-0.655068,0.715935
14,-0.592771,0.793288,0.0994086,-0.233977,0.214836,-0.640131,0.699523
15,-0.711465,0.688744,0.101069,-0.28857,0.265573,-0.621875,0.677842
16,-0.81086,0.56725,0.101247,-0.34079,0.313851,-0.59901,0.653106
17,-0.892595,0.431336,0.101776,-0.391695,0.360185,-0.572761,0.623527
18,-0.944729,0.283583,0.10048,-0.440986,0.403367,-0.542085,0.590737
19,-0.979007,0.130564,0.0997901,-0.485729,0.445686,-0.507803,0.554588
20,-0.988016,-0.024722,0.100002,0.527349,-0.483979,0.47154,-0.515089
21,-0.969956,-0.181772,0.100127,0.566572,-0.519917,0.431646,-0.471555
22,-0.929726,-0.334144,0.100101,0.602484,-0.552366,0.389131,-0.424831
23,-0.865006,-0.478147,0.0997143,0.634812,-0.581122,0.34417,-0.375312
24,-0.779423,-0.607985,0.0984971,0.662459,-0.605587,0.297313,-0.325602
25,-0.672549,-0.725735,0.100211,0.685693,-0.62856,0.248016,-0.270602
26,-0.550035,-0.823028,0.10026,0.70477,-0.646153,0.197749,-0.216059
27,-0.412992,-0.901003,0.100227,0.719773,-0.659786,0.145847,-0.159181
28,-0.266124,-0.955386,0.10024,0.730068,-0.669217,0.0933429,-0.102159
29,-0.112253,-0.986509,0.100621,0.735673,-0.674703,0.0403357,-0.0439789
30,0.0450322,-0.992603,0.100379,0.73697,-0.67564,-0.0133331,0.0144251
31,0.200856,-0.974347,0.100347,0.733551,-0.672459,-0.0667021,0.0724784
32,0.352098,-0.931594,0.100321,0.725524,-0.665076,-0.119539,0.130384
33,0.494593,-0.865136,0.100643,0.712718,-0.653757,-0.171696,0.187498
34,0.625304,-0.777208,0.100006,0.695943,-0.637683,-0.223011,0.243497
35,0.739764,-0.670255,0.0999983,0.674653,-0.618163,-0.272488,0.297436
36,0.837265,-0.545826,0.101305,0.648173,-0.595139,-0.321408,0.349826
37,0.912472,-0.40805,0.0998978,0.619225,-0.567302,-0.366724,0.400303
38,0.965348,-0.259651,0.100148,0.585435,-0.536551,-0.410651,0.448047
39,0.994526,-0.104927,0.100069,0.548096,-0.502352,-0.451784,0.493077
