#timestamp, p_RS_R_x [m], p_RS_R_y [m], p_RS_R_z [m], q_RS_w [], q_RS_x [], q_RS_y [], q_RS_z []
0,1.0012,0.000299915,0.099877,0.521334,-0.477714,-0.477714,0.521334
1,0.989452,0.15554,0.100508,0.478996,-0.439273,-0.513752,0.560054
2,0.951871,0.309297,0.0992796,0.433059,-0.396462,-0.5466,0.597081
3,0.890693,0.455161,0.0998253,0.383581,-0.351983,-0.576679,0.629615
4,0.807777,0.588381,0.0998134,0.332573,-0.305439,-0.602661,0.657953
5,0.705243,0.707208,0.0998122,0.279727,-0.25669,-0.624981,0.682101
6,0.586044,0.808087,0.0978973,0.225661,-0.206701,-0.642036,0.702952
7,0.450624,0.889888,0.100075,0.168774,-0.154741,-0.65785,0.717498
8,0.304973,0.948394,0.0994989,0.111838,-0.102179,-0.667706,0.728849
9,0.151594,0.983595,0.0995116,0.053758,-0.0490099,-0.673698,0.735418
10,-0.00538624,0.993968,0.0996134,-0.00471502,0.00435978,-0.675502,0.73733
11,-0.161963,0.979618,0.0994768,-0.0628332,0.0579565,-0.672932,0.734749
12,-0.314275,0.940458,0.0995541,-0.120804,0.110988,-0.666274,0.727439
13,-0.458661,0.878102,0.0993632,-0.177782,0.163574,-0.655196,0.71579
14,-0.591429,0.793521,0.0993699,-0.234064,0.214799,-0.640224,0.69942
15,-0.709826,0.688919,0.100617,-0.288696,0.265385,-0.621787,0.677943
16,-0.809494,0.56751,0.100929,-0.34095,0.31374,-0.598998,0.653086
17,-0.890965,0.431481,0.101427,-0.391827,0.360179,-0.572636,0.623563
18,-0.943355,0.283635,0.100188,-0.44109,0.403377,-0.54199,0.59074
19,-0.977716,0.130609,0.0995372,-0.485943,0.445659,-0.507725,0.554493
20,-0.986454,-0.0248345,0.0997396,0.527567,-0.483999,0.471429,-0.514949
21,-0.968886,-0.181724,0.0999358,0.566737,-0.519917,0.431596,-0.471402
22,-0.928354,-0.333901,0.0998709,0.602551,-0.552333,0.389105,-0.424803
23,-0.863602,-0.47776,0.0995554,0.634744,-0.581171,0.344118,-0.375397
24,-0.777848,-0.60803,0.0986815,0.662419,-0.605876,0.297224,-0.325227
25,-0.671271,-0.725331,0.099928,0.685732,-0.628479,0.248037,-0.270673
26,-0.548629,-0.822809,0.100007,0.704849,-0.646106,0.197728,-0.21596
27,-0.411608,-0.900594,0.0999747,0.719811,-0.65974,0.145838,-0.159207
28,-0.264672,-0.955083,0.099988,0.730114,-0.669179,0.0933366,-0.102088
29,-0.110715,-0.986145,0.100235,0.735785,-0.674589,0.0402539,-0.0439291
30,0.0464839,-0.992292,0.10011,0.737018,-0.675587,-0.013354,0.014457
31,0.202356,-0.973921,0.100083,0.733594,-0.672401,-0.0667107,0.0725683
32,0.353579,-0.931088,0.100062,0.725557,-0.665017,-0.119591,0.130451
33,0.496127,-0.864672,0.100268,0.712806,-0.65362,-0.171771,0.187572
34,0.626702,-0.776748,0.0998335,0.695955,-0.637654,-0.223069,0.243483
35,0.74127,-0.669681,0.0998555,0.674611,-0.61811,-0.272626,0.297516
36,0.838448,-0.545318,0.100908,0.64832,-0.594989,-0.321379,0.349836
37,0.913753,-0.407505,0.0997949,0.619182,-0.567275,-0.366811,0.400328
38,0.966679,-0.259199,0.100012,0.585418,-0.536515,-0.410702,0.448065
39,0.995743,-0.104525,0.0999532,0.548092,-0.502324,-0.451829,0.493069
