#timestamp, p_RS_R_x [m], p_RS_R_y [m], p_RS_R_z [m], q_RS_w [], q_RS_x [], q_RS_y [], q_RS_z []
0,1.00057,-7.30446e-06,0.0997371,0.521334,-0.477714,-0.477714,0.521334
1,0.987008,0.16086,0.0993213,0.47703,-0.437038,-0.514906,0.562416
2,0.949181,0.3134,0.0981973,0.432026,-0.394676,-0.547221,0.598444
3,0.887964,0.458711,0.100329,0.382466,-0.35148,-0.577442,0.629875
4,0.804887,0.592986,0.100252,0.331899,-0.304401,-0.603468,0.658034
5,0.70086,0.712023,0.100128,0.278581,-0.255908,-0.625555,0.682337
6,0.578247,0.813583,0.100612,0.222978,-0.205045,-0.64444,0.702093
7,0.443605,0.893116,0.0997383,0.167291,-0.154374,-0.657911,0.717869
8,0.297366,0.951796,0.0995666,0.10986,-0.102056,-0.667957,0.728937
9,0.14387,0.986882,0.0993211,0.052087,-0.048944,-0.673849,0.735404
10,-0.0135443,0.997479,0.0991049,-0.00623085,0.00441026,-0.675522,0.7373
11,-0.170905,0.982603,0.0988432,-0.0645554,0.0578837,-0.672955,0.734584
12,-0.32392,0.943029,0.0983965,-0.122274,0.111182,-0.666016,0.727399
13,-0.469021,0.879576,0.0985961,-0.179849,0.163459,-0.655327,0.71518
14,-0.601715,0.794461,0.0982871,-0.235405,0.214963,-0.640093,0.699039
15,-0.719382,0.688841,0.097678,-0.29044,0.264766,-0.620793,0.67835
16,-0.817899,0.56501,0.0959322,-0.34457,0.312691,-0.596916,0.653595
17,-0.896896,0.429798,0.0955239,-0.395019,0.358243,-0.57059,0.624539
18,-0.955955,0.283844,0.094348,-0.441218,0.402984,-0.538988,0.593652
19,-0.98866,0.130046,0.0961766,-0.48489,0.445699,-0.506841,0.55619
20,-0.998576,-0.0295566,0.0960697,0.529053,-0.484135,0.469804,-0.514782
21,-0.981462,-0.187861,0.0973259,0.568168,-0.520345,0.430308,-0.470384
22,-0.939115,-0.339886,0.0968958,0.603278,-0.552689,0.387437,-0.424833
23,-0.873412,-0.484969,0.0973127,0.635119,-0.582112,0.341957,-0.375281
24,-0.785873,-0.616863,0.0974063,0.662904,-0.607285,0.294835,-0.323785
25,-0.678564,-0.733265,0.0980523,0.686156,-0.629094,0.245676,-0.270324
26,-0.555292,-0.830502,0.0980917,0.705314,-0.646241,0.19582,-0.215778
27,-0.417102,-0.90804,0.0984433,0.720081,-0.659922,0.143635,-0.159234
28,-0.268852,-0.962702,0.0986413,0.730441,-0.669198,0.0912602,-0.101498
29,-0.114371,-0.9929,0.0987452,0.736193,-0.67427,0.0383798,-0.0436649
30,0.0437076,-0.99878,0.0989456,0.737314,-0.675216,-0.0148294,0.0152038
31,0.199982,-0.979616,0.0991479,0.733789,-0.671994,-0.0682085,0.0729759
32,0.351855,-0.936543,0.0999187,0.725342,-0.664923,-0.120947,0.130876
33,0.494946,-0.869462,0.100211,0.712537,-0.653464,-0.173006,0.188003
34,0.625818,-0.781383,0.100347,0.695458,-0.637844,-0.223944,0.243605
35,0.741551,-0.672559,0.100574,0.673693,-0.618131,-0.273992,0.298296
36,0.838862,-0.54645,0.100346,0.647742,-0.594128,-0.322411,0.351418
37,0.913794,-0.408084,0.101102,0.617954,-0.567262,-0.368476,0.400715
38,0.96651,-0.259248,0.10091,0.584479,-0.536306,-0.412016,0.448334
39,0.995231,-0.103572,0.10044,0.547161,-0.501925,-0.452844,0.493579
