#timestamp, p_RS_R_x [m], p_RS_R_y [m], p_RS_R_z [m], q_RS_w [], q_RS_x [], q_RS_y [], q_RS_z []
0,0.999999,2.55997e-08,0.0999995,0.521333,-0.477715,-0.477715,0.521333
1,0.98782,0.156503,0.0930549,0.482331,-0.434921,-0.511469,0.562673
2,0.954317,0.305096,0.0940381,0.43942,-0.39504,-0.543347,0.596345
3,0.892672,0.455074,0.0973323,0.38771,-0.350255,-0.575419,0.629202
4,0.810022,0.589534,0.0979568,0.336412,-0.304319,-0.601348,0.657721
5,0.706729,0.710491,0.0975465,0.28267,-0.255691,-0.623236,0.68286
6,0.585656,0.813246,0.0961808,0.227355,-0.205165,-0.640574,0.704189
7,0.453723,0.892419,0.0984851,0.173697,-0.155497,-0.655765,0.718069
8,0.306297,0.95581,0.10117,0.114507,-0.102654,-0.667376,0.72867
9,0.152062,0.993293,0.102661,0.0559156,-0.0504283,-0.673979,0.734903
10,-0.00747532,1.00631,0.103725,-0.00257841,0.00360773,-0.676347,0.73657
11,-0.16663,0.993182,0.104224,-0.06066,0.0572224,-0.674187,0.733838
12,-0.32253,0.954418,0.105113,-0.118629,0.110958,-0.667892,0.726317
13,-0.47073,0.890454,0.105451,-0.176665,0.163835,-0.6571,0.71426
14,-0.606032,0.805021,0.10525,-0.232372,0.215372,-0.641801,0.698362
15,-0.72469,0.699278,0.104582,-0.286101,0.265134,-0.622158,0.6788
16,-0.827665,0.576802,0.106373,-0.339507,0.312794,-0.601143,0.65232
17,-0.913174,0.443184,0.108692,-0.386657,0.359408,-0.57549,0.624607
18,-0.961932,0.285791,0.114517,-0.434126,0.410418,-0.543382,0.58977
19,-0.987778,0.127573,0.111639,-0.478907,0.453635,-0.508742,0.553214
20,-0.991478,-0.0260406,0.108524,0.522975,-0.487897,0.472469,-0.515002
21,-0.979873,-0.185089,0.113448,0.564653,-0.523486,0.436197,-0.465684
22,-0.937946,-0.334929,0.106614,0.60087,-0.553942,0.390163,-0.424119
23,-0.876218,-0.476228,0.107879,0.630706,-0.583159,0.346536,-0.376894
24,-0.7905,-0.610088,0.107447,0.659452,-0.608545,0.299043,-0.324606
25,-0.684785,-0.727804,0.106739,0.683683,-0.6297,0.250372,-0.270867
26,-0.560299,-0.828688,0.107197,0.702883,-0.648329,0.198599,-0.214903
27,-0.422171,-0.906653,0.105637,0.718627,-0.661041,0.14719,-0.157909
28,-0.271456,-0.962212,0.105923,0.728899,-0.670947,0.0939063,-0.0985815
29,-0.121013,-0.991277,0.104008,0.735083,-0.675207,0.0431609,-0.0434328
30,0.0352816,-0.997923,0.102769,0.736733,-0.675971,-0.00916984,0.0142487
31,0.192506,-0.981229,0.105002,0.731901,-0.674648,-0.0625218,0.0725437
32,0.345266,-0.938637,0.0997117,0.726616,-0.664558,-0.115791,0.130326
33,0.490888,-0.872729,0.0987501,0.714036,-0.652915,-0.168188,0.188596
34,0.623175,-0.784516,0.0972736,0.697494,-0.636772,-0.219432,0.244692
35,0.739362,-0.676634,0.0990029,0.675031,-0.618596,-0.26969,0.298228
36,0.838124,-0.550799,0.100257,0.648781,-0.595285,-0.32,0.349743
37,0.914384,-0.40939,0.0972257,0.619742,-0.566123,-0.365774,0.402038
38,0.966039,-0.260685,0.0966625,0.586976,-0.534951,-0.409449,0.449042
39,0.994482,-0.105987,0.0959569,0.550209,-0.500697,-0.45004,0.494001
