#timestamp, p_RS_R_x [m], p_RS_R_y [m], p_RS_R_z [m], q_RS_w [], q_RS_x [], q_RS_y [], q_RS_z []
0,1.00012,8.57425e-05,0.100054,0.521334,-0.477714,-0.477714,0.521334
1,0.988485,0.157837,0.100327,0.47922,-0.438777,-0.513869,0.560144
2,0.949756,0.317271,0.103889,0.42954,-0.396916,-0.549466,0.596691
3,0.887537,0.462514,0.0996575,0.38346,-0.351011,-0.576973,0.629962
4,0.80319,0.597678,0.0998284,0.332544,-0.304204,-0.603044,0.658188
5,0.698878,0.717589,0.0994869,0.279826,-0.255494,-0.62503,0.682464
6,0.576549,0.820846,0.0997456,0.224356,-0.205147,-0.643389,0.702587
7,0.439028,0.902889,0.0997107,0.167573,-0.153386,-0.657597,0.718302
8,0.292088,0.961361,0.100381,0.111227,-0.101062,-0.668045,0.728787
9,0.136275,0.996058,0.100299,0.0529282,-0.0478848,-0.673896,0.73537
10,-0.0224225,1.00582,0.100239,-0.00523795,0.00560264,-0.675517,0.737305
11,-0.180699,0.990981,0.100203,-0.0634571,0.0589406,-0.672918,0.734629
12,-0.334613,0.95138,0.100732,-0.121478,0.111648,-0.666469,0.727047
13,-0.480408,0.887754,0.100558,-0.178535,0.164009,-0.655441,0.715278
14,-0.614739,0.803039,0.100682,-0.234054,0.215317,-0.640412,0.699092
15,-0.73492,0.694787,0.100925,-0.289884,0.266604,-0.62093,0.677743
16,-0.836017,0.572023,0.100267,-0.341514,0.31501,-0.597088,0.653928
17,-0.920036,0.430643,0.103747,-0.392989,0.364184,-0.570726,0.622255
18,-0.973541,0.283515,0.103004,-0.442594,0.405009,-0.542112,0.588382
19,-1.00217,0.127775,0.105485,-0.487151,0.446174,-0.510268,0.550671
20,-1.00982,-0.026933,0.102031,0.526923,-0.484755,0.471984,-0.514389
21,-0.995516,-0.186368,0.100309,0.567151,-0.520435,0.430875,-0.470993
22,-0.953914,-0.339622,0.100858,0.602609,-0.552674,0.389012,-0.424363
23,-0.889241,-0.484958,0.100658,0.634439,-0.581452,0.344246,-0.375361
24,-0.801263,-0.618733,0.101519,0.661772,-0.607618,0.296898,-0.323588
25,-0.693075,-0.73655,0.100879,0.685764,-0.628942,0.247417,-0.270083
26,-0.567831,-0.835831,0.100798,0.705175,-0.646513,0.196824,-0.214498
27,-0.428934,-0.914009,0.100729,0.720018,-0.659997,0.145181,-0.157799
28,-0.279789,-0.968752,0.100216,0.730447,-0.669129,0.0925787,-0.100711
29,-0.124081,-0.999705,0.100551,0.735926,-0.674546,0.0396463,-0.042759
30,0.0353506,-1.00563,0.100431,0.73703,-0.675531,-0.0141778,0.0156109
31,0.193208,-0.986223,0.099707,0.73381,-0.671949,-0.066777,0.07448
32,0.345745,-0.942543,0.100163,0.725505,-0.664781,-0.120115,0.131462
33,0.489807,-0.875052,0.100394,0.712743,-0.653307,-0.17245,0.188279
34,0.62127,-0.78615,0.0997812,0.695922,-0.637436,-0.223083,0.244137
35,0.737362,-0.677764,0.100987,0.673949,-0.618466,-0.273152,0.297794
36,0.83575,-0.551122,0.100163,0.648253,-0.594249,-0.321417,0.35118
37,0.910996,-0.412197,0.0998061,0.619093,-0.56703,-0.366965,0.400673
38,0.964975,-0.261962,0.0999695,0.585175,-0.536235,-0.41081,0.448618
39,0.994368,-0.105587,0.0994354,0.548156,-0.501843,-0.451784,0.49353
