#timestamp, p_RS_R_x [m], p_RS_R_y [m], p_RS_R_z [m], q_RS_w [], q_RS_x [], q_RS_y [], q_RS_z []
0,0.999237,-0.000129039,0.0999398,0.521334,-0.477714,-0.477715,0.521334
1,0.987419,0.157617,0.100091,0.47916,-0.438762,-0.513802,0.560269
2,0.948668,0.316384,0.102973,0.430035,-0.396736,-0.549037,0.596849
3,0.886832,0.461809,0.0995553,0.383589,-0.351128,-0.57691,0.629876
4,0.802629,0.597032,0.0996892,0.332646,-0.304333,-0.602969,0.658146
5,0.698381,0.717057,0.0994783,0.27983,-0.255672,-0.625021,0.682404
6,0.576141,0.820013,0.0996496,0.224543,-0.205372,-0.643347,0.702501
7,0.438935,0.902112,0.0995658,0.167888,-0.153663,-0.657533,0.718228
8,0.291675,0.960809,0.100142,0.111227,-0.101257,-0.667964,0.728834
9,0.136041,0.995721,0.100153,0.0530306,-0.0480694,-0.673877,0.735369
10,-0.0227435,1.00565,0.100121,-0.0052102,0.00540936,-0.675533,0.737292
11,-0.181094,0.99077,0.100116,-0.0634449,0.0587982,-0.672965,0.734599
12,-0.335079,0.951145,0.100476,-0.121411,0.111623,-0.666421,0.727106
13,-0.480989,0.887683,0.100411,-0.178467,0.163989,-0.655446,0.715295
14,-0.615238,0.80255,0.100501,-0.23415,0.21533,-0.640409,0.699059
15,-0.735409,0.694894,0.100713,-0.289742,0.266408,-0.620999,0.677817
16,-0.836529,0.572024,0.100275,-0.341509,0.314866,-0.597321,0.653787
17,-0.920184,0.431066,0.103489,-0.392925,0.363707,-0.571067,0.622262
18,-0.973959,0.283787,0.102854,-0.442427,0.404844,-0.54222,0.588521
19,-1.003,0.127773,0.105356,-0.486973,0.446272,-0.510221,0.550793
20,-1.01109,-0.0273,0.10191,0.527099,-0.484785,0.471932,-0.514229
21,-0.996171,-0.186438,0.100201,0.567198,-0.520296,0.430998,-0.470976
22,-0.954604,-0.339826,0.100685,0.60265,-0.55264,0.38901,-0.424352
23,-0.889752,-0.48505,0.100554,0.634396,-0.581503,0.344203,-0.375394
24,-0.801961,-0.618702,0.101206,0.661856,-0.607464,0.296948,-0.323658
25,-0.693975,-0.736516,0.100741,0.685748,-0.628865,0.247597,-0.270138
26,-0.568898,-0.835753,0.100651,0.705124,-0.646443,0.197019,-0.2147
27,-0.430002,-0.913932,0.100549,0.71999,-0.659936,0.145331,-0.158046
28,-0.280846,-0.968824,0.100195,0.73037,-0.669167,0.0927563,-0.10085
29,-0.125044,-0.9998,0.100329,0.735968,-0.674486,0.0397569,-0.0428766
30,0.0342635,-1.00579,0.100256,0.73706,-0.675506,-0.0139646,0.015487
31,0.19218,-0.986482,0.0997098,0.733767,-0.672029,-0.0668422,0.0741398
32,0.344897,-0.942823,0.100018,0.725521,-0.664786,-0.120054,0.131402
33,0.489037,-0.875384,0.100168,0.712785,-0.653283,-0.172358,0.188284
34,0.620603,-0.786424,0.0997851,0.69587,-0.637493,-0.223169,0.244057
35,0.736701,-0.677814,0.100526,0.67407,-0.618266,-0.273113,0.29797
36,0.834823,-0.55137,0.0999189,0.648362,-0.594232,-0.321303,0.351112
37,0.910389,-0.412339,0.0996666,0.619059,-0.567018,-0.366968,0.400738
38,0.964236,-0.262194,0.0998005,0.585217,-0.53622,-0.410796,0.448593
39,0.993582,-0.105754,0.0994294,0.548099,-0.501887,-0.45182,0.493515
